x_accel,y_accel,z_accel,Year/Month/Day,Hours:Minutes:Seconds.Milliseconds
-67.0,152.0,-995.0,2021/03/25,01:10:01.609967
-66.0,145.0,-991.0,2021/03/25,01:10:01.626302
-66.0,145.0,-988.0,2021/03/25,01:10:01.642752
-60.0,153.0,-991.0,2021/03/25,01:10:01.659062
-62.0,150.0,-991.0,2021/03/25,01:10:01.675396
-61.0,152.0,-994.0,2021/03/25,01:10:01.691806
-67.0,153.0,-992.0,2021/03/25,01:10:01.708107
-62.0,154.0,-993.0,2021/03/25,01:10:01.724342
-65.0,151.0,-999.0,2021/03/25,01:10:01.740575
-68.0,149.0,-989.0,2021/03/25,01:10:01.756805
-67.0,148.0,-988.0,2021/03/25,01:10:01.773026
-73.0,144.0,-980.0,2021/03/25,01:10:01.789248
-71.0,148.0,-989.0,2021/03/25,01:10:01.805484
-68.0,151.0,-988.0,2021/03/25,01:10:01.821713
-65.0,152.0,-987.0,2021/03/25,01:10:01.837938
-70.0,153.0,-989.0,2021/03/25,01:10:01.854167
-70.0,153.0,-994.0,2021/03/25,01:10:01.870398
-65.0,150.0,-996.0,2021/03/25,01:10:01.886619
-69.0,148.0,-1001.0,2021/03/25,01:10:01.902842
-70.0,141.0,-991.0,2021/03/25,01:10:01.919065
-62.0,144.0,-986.0,2021/03/25,01:10:01.935289
-60.0,141.0,-990.0,2021/03/25,01:10:01.951519
-62.0,144.0,-991.0,2021/03/25,01:10:01.967759
-65.0,145.0,-991.0,2021/03/25,01:10:01.983991
-70.0,145.0,-994.0,2021/03/25,01:10:02.000211
-72.0,147.0,-996.0,2021/03/25,01:10:02.016441
-68.0,148.0,-1000.0,2021/03/25,01:10:02.032668
-74.0,145.0,-994.0,2021/03/25,01:10:02.048910
-71.0,150.0,-996.0,2021/03/25,01:10:02.065152
-65.0,151.0,-982.0,2021/03/25,01:10:02.081378
-57.0,154.0,-979.0,2021/03/25,01:10:02.097609
-59.0,152.0,-987.0,2021/03/25,01:10:02.113834
-63.0,156.0,-987.0,2021/03/25,01:10:02.130056
-66.0,145.0,-988.0,2021/03/25,01:10:02.146299
-72.0,154.0,-992.0,2021/03/25,01:10:02.162523
-74.0,154.0,-995.0,2021/03/25,01:10:02.178754
-71.0,154.0,-993.0,2021/03/25,01:10:02.194988
-70.0,148.0,-996.0,2021/03/25,01:10:02.211223
-57.0,149.0,-986.0,2021/03/25,01:10:02.227460
-61.0,150.0,-986.0,2021/03/25,01:10:02.243682
-55.0,145.0,-978.0,2021/03/25,01:10:02.259904
-54.0,146.0,-991.0,2021/03/25,01:10:02.276144
-56.0,154.0,-990.0,2021/03/25,01:10:02.292373
-60.0,153.0,-986.0,2021/03/25,01:10:02.308617
-55.0,154.0,-991.0,2021/03/25,01:10:02.324843
-47.0,156.0,-986.0,2021/03/25,01:10:02.341062
-48.0,153.0,-987.0,2021/03/25,01:10:02.357294
-48.0,151.0,-989.0,2021/03/25,01:10:02.373534
-47.0,159.0,-995.0,2021/03/25,01:10:02.389758
-51.0,154.0,-994.0,2021/03/25,01:10:02.405979
