x_accel,y_accel,z_accel,Year/Month/Day,Hours:Minutes:Seconds.Milliseconds
-15.0,23.0,-995.0,2021/03/25,00:55:44.185561
-18.0,21.0,-1001.0,2021/03/25,00:55:44.213759
-15.0,26.0,-999.0,2021/03/25,00:55:44.230144
-18.0,24.0,-991.0,2021/03/25,00:55:44.246576
-13.0,27.0,-1005.0,2021/03/25,00:55:44.262976
-13.0,26.0,-1004.0,2021/03/25,00:55:44.279446
-18.0,25.0,-1001.0,2021/03/25,00:55:44.295713
-18.0,28.0,-1003.0,2021/03/25,00:55:44.312043
-20.0,29.0,-1005.0,2021/03/25,00:55:44.328353
-17.0,23.0,-1002.0,2021/03/25,00:55:44.344615
-16.0,28.0,-996.0,2021/03/25,00:55:44.360868
-16.0,28.0,-997.0,2021/03/25,00:55:44.377125
-15.0,24.0,-1003.0,2021/03/25,00:55:44.393382
-18.0,23.0,-1003.0,2021/03/25,00:55:44.409641
-10.0,23.0,-997.0,2021/03/25,00:55:44.425900
-15.0,25.0,-1008.0,2021/03/25,00:55:44.442162
-14.0,26.0,-998.0,2021/03/25,00:55:44.458412
-14.0,23.0,-1001.0,2021/03/25,00:55:44.474662
-15.0,25.0,-1005.0,2021/03/25,00:55:44.490911
-15.0,27.0,-1008.0,2021/03/25,00:55:44.507169
-13.0,24.0,-1005.0,2021/03/25,00:55:44.523425
-15.0,22.0,-1003.0,2021/03/25,00:55:44.539677
-18.0,28.0,-1004.0,2021/03/25,00:55:44.555933
-13.0,27.0,-1000.0,2021/03/25,00:55:44.572179
-18.0,25.0,-1000.0,2021/03/25,00:55:44.588429
-20.0,26.0,-1004.0,2021/03/25,00:55:44.604687
-17.0,23.0,-1005.0,2021/03/25,00:55:44.620944
-19.0,26.0,-1005.0,2021/03/25,00:55:44.637192
-16.0,25.0,-999.0,2021/03/25,00:55:44.653437
-18.0,29.0,-996.0,2021/03/25,00:55:44.669690
-17.0,28.0,-1005.0,2021/03/25,00:55:44.685946
-13.0,31.0,-1004.0,2021/03/25,00:55:44.702200
-14.0,25.0,-999.0,2021/03/25,00:55:44.718454
-18.0,28.0,-1004.0,2021/03/25,00:55:44.734709
-19.0,25.0,-997.0,2021/03/25,00:55:44.750961
-16.0,22.0,-996.0,2021/03/25,00:55:44.767216
-15.0,24.0,-1002.0,2021/03/25,00:55:44.783463
-17.0,22.0,-998.0,2021/03/25,00:55:44.799710
-14.0,23.0,-1000.0,2021/03/25,00:55:44.815963
-13.0,28.0,-997.0,2021/03/25,00:55:44.832906
-15.0,28.0,-1007.0,2021/03/25,00:55:44.851187
-13.0,28.0,-1002.0,2021/03/25,00:55:44.867481
-14.0,27.0,-1001.0,2021/03/25,00:55:44.883730
