x_accel,y_accel,z_accel,Year/Month/Day,Hours:Minutes:Seconds.Milliseconds
1.0,34.0,-999.0,2021/03/24,23:28:03.344873
3.0,40.0,-1000.0,2021/03/24,23:28:03.361314
-4.0,34.0,-1001.0,2021/03/24,23:28:03.377745
0.0,30.0,-987.0,2021/03/24,23:28:03.394108
-1.0,34.0,-998.0,2021/03/24,23:28:03.410480
-1.0,35.0,-999.0,2021/03/24,23:28:03.426936
2.0,33.0,-1000.0,2021/03/24,23:28:03.443301
-2.0,36.0,-1006.0,2021/03/24,23:28:03.459542
0.0,36.0,-995.0,2021/03/24,23:28:03.475784
0.0,33.0,-1003.0,2021/03/24,23:28:03.492190
0.0,37.0,-1002.0,2021/03/24,23:28:03.508431
3.0,36.0,-997.0,2021/03/24,23:28:03.524689
0.0,35.0,-1007.0,2021/03/24,23:28:03.540929
0.0,37.0,-1004.0,2021/03/24,23:28:03.557169
4.0,39.0,-1005.0,2021/03/24,23:28:03.573408
2.0,36.0,-1002.0,2021/03/24,23:28:03.589656
3.0,38.0,-1001.0,2021/03/24,23:28:03.605912
2.0,34.0,-1000.0,2021/03/24,23:28:03.622148
6.0,35.0,-1005.0,2021/03/24,23:28:03.638390
-1.0,30.0,-999.0,2021/03/24,23:28:03.654628
7.0,33.0,-999.0,2021/03/24,23:28:03.670865
1.0,32.0,-1004.0,2021/03/24,23:28:03.687108
4.0,33.0,-998.0,2021/03/24,23:28:03.703346
4.0,33.0,-997.0,2021/03/24,23:28:03.719581
5.0,32.0,-996.0,2021/03/24,23:28:03.735812
5.0,37.0,-1003.0,2021/03/24,23:28:03.752054
0.0,39.0,-1001.0,2021/03/24,23:28:03.768305
1.0,39.0,-1002.0,2021/03/24,23:28:03.784542
-1.0,36.0,-1004.0,2021/03/24,23:28:03.800780
-1.0,32.0,-1002.0,2021/03/24,23:28:03.817019
0.0,33.0,-996.0,2021/03/24,23:28:03.833275
2.0,33.0,-999.0,2021/03/24,23:28:03.849509
0.0,32.0,-1006.0,2021/03/24,23:28:03.865746
0.0,33.0,-1001.0,2021/03/24,23:28:03.881980
0.0,31.0,-999.0,2021/03/24,23:28:03.898217
0.0,33.0,-1005.0,2021/03/24,23:28:03.914459
0.0,33.0,-1008.0,2021/03/24,23:28:03.930700
-2.0,33.0,-1006.0,2021/03/24,23:28:03.946941
2.0,37.0,-1005.0,2021/03/24,23:28:03.963175
3.0,39.0,-1002.0,2021/03/24,23:28:03.979436
1.0,34.0,-1004.0,2021/03/24,23:28:03.995672
1.0,36.0,-1007.0,2021/03/24,23:28:04.011907
3.0,35.0,-1001.0,2021/03/24,23:28:04.028148
-1.0,38.0,-1001.0,2021/03/24,23:28:04.044389
0.0,37.0,-1003.0,2021/03/24,23:28:04.060632
-1.0,33.0,-993.0,2021/03/24,23:28:04.076895
1.0,33.0,-1003.0,2021/03/24,23:28:04.093150
3.0,30.0,-1002.0,2021/03/24,23:28:04.109426
0.0,39.0,-1002.0,2021/03/24,23:28:04.125678
2.0,37.0,-1002.0,2021/03/24,23:28:04.141923
5.0,35.0,-1001.0,2021/03/24,23:28:04.158182
4.0,31.0,-1000.0,2021/03/24,23:28:04.174426
0.0,34.0,-997.0,2021/03/24,23:28:04.190666
1.0,33.0,-1002.0,2021/03/24,23:28:04.206916
0.0,34.0,-997.0,2021/03/24,23:28:04.223162
0.0,37.0,-996.0,2021/03/24,23:28:04.239481
2.0,39.0,-999.0,2021/03/24,23:28:04.255726
9.0,43.0,-1006.0,2021/03/24,23:28:04.271968
5.0,35.0,-999.0,2021/03/24,23:28:04.288205
4.0,32.0,-1007.0,2021/03/24,23:28:04.304454
1.0,29.0,-1007.0,2021/03/24,23:28:04.320706
0.0,34.0,-1005.0,2021/03/24,23:28:04.336954
0.0,31.0,-1000.0,2021/03/24,23:28:04.353197
-1.0,32.0,-999.0,2021/03/24,23:28:04.369477
0.0,35.0,-1003.0,2021/03/24,23:28:04.385729
0.0,36.0,-1005.0,2021/03/24,23:28:04.401977
-1.0,41.0,-1002.0,2021/03/24,23:28:04.418224
0.0,40.0,-1002.0,2021/03/24,23:28:04.434467
-3.0,37.0,-1004.0,2021/03/24,23:28:04.450715
0.0,40.0,-999.0,2021/03/24,23:28:04.466989
0.0,34.0,-1000.0,2021/03/24,23:28:04.483256
0.0,36.0,-1000.0,2021/03/24,23:28:04.499498
0.0,32.0,-1006.0,2021/03/24,23:28:04.515750
1.0,33.0,-1000.0,2021/03/24,23:28:04.531997
0.0,34.0,-1002.0,2021/03/24,23:28:04.548253
2.0,35.0,-997.0,2021/03/24,23:28:04.564521
0.0,38.0,-1005.0,2021/03/24,23:28:04.580769
2.0,38.0,-1003.0,2021/03/24,23:28:04.597017
-5.0,33.0,-997.0,2021/03/24,23:28:04.613301
4.0,36.0,-1005.0,2021/03/24,23:28:04.629572
0.0,34.0,-1001.0,2021/03/24,23:28:04.645830
0.0,40.0,-999.0,2021/03/24,23:28:04.662076
-1.0,35.0,-995.0,2021/03/24,23:28:04.678322
1.0,34.0,-998.0,2021/03/24,23:28:04.694573
1.0,39.0,-1001.0,2021/03/24,23:28:04.710840
0.0,37.0,-1006.0,2021/03/24,23:28:04.727094
0.0,33.0,-999.0,2021/03/24,23:28:04.743350
0.0,33.0,-996.0,2021/03/24,23:28:04.759603
1.0,36.0,-1000.0,2021/03/24,23:28:04.775852
-1.0,40.0,-997.0,2021/03/24,23:28:04.792098
0.0,36.0,-999.0,2021/03/24,23:28:04.808346
-3.0,34.0,-1002.0,2021/03/24,23:28:04.824598
0.0,37.0,-1002.0,2021/03/24,23:28:04.840839
-3.0,39.0,-996.0,2021/03/24,23:28:04.857086
1.0,41.0,-1001.0,2021/03/24,23:28:04.873341
-7.0,34.0,-1002.0,2021/03/24,23:28:04.889585
2.0,36.0,-1007.0,2021/03/24,23:28:04.905827
0.0,33.0,-1004.0,2021/03/24,23:28:04.922069
