x_accel,y_accel,z_accel,Year/Month/Day,Hours:Minutes:Seconds.Milliseconds
-39.0,1036.0,-165.0,2021/03/24,12:24:20.467936
-37.0,1042.0,-164.0,2021/03/24,12:24:20.487226
-35.0,1040.0,-164.0,2021/03/24,12:24:20.503590
-38.0,1037.0,-157.0,2021/03/24,12:24:20.519927
-34.0,1039.0,-160.0,2021/03/24,12:24:20.536316
-33.0,1031.0,-155.0,2021/03/24,12:24:20.552659
-35.0,1038.0,-163.0,2021/03/24,12:24:20.568940
-33.0,1039.0,-165.0,2021/03/24,12:24:20.585229
-38.0,1036.0,-161.0,2021/03/24,12:24:20.601489
-38.0,1041.0,-163.0,2021/03/24,12:24:20.617741
-38.0,1036.0,-166.0,2021/03/24,12:24:20.633983
-42.0,1040.0,-165.0,2021/03/24,12:24:20.650244
-36.0,1043.0,-161.0,2021/03/24,12:24:20.666497
-36.0,1040.0,-173.0,2021/03/24,12:24:20.682745
-39.0,1036.0,-164.0,2021/03/24,12:24:20.698998
-37.0,1033.0,-155.0,2021/03/24,12:24:20.715251
-36.0,1039.0,-163.0,2021/03/24,12:24:20.731508
-39.0,1037.0,-159.0,2021/03/24,12:24:20.747764
-32.0,1040.0,-159.0,2021/03/24,12:24:20.764020
-36.0,1043.0,-168.0,2021/03/24,12:24:20.780271
-35.0,1039.0,-168.0,2021/03/24,12:24:20.796523
-35.0,1041.0,-157.0,2021/03/24,12:24:20.812779
-38.0,1040.0,-162.0,2021/03/24,12:24:20.829038
-36.0,1035.0,-163.0,2021/03/24,12:24:20.845293
-36.0,1037.0,-164.0,2021/03/24,12:24:20.861546
-33.0,1040.0,-157.0,2021/03/24,12:24:20.877809
-32.0,1040.0,-165.0,2021/03/24,12:24:20.894066
-34.0,1039.0,-164.0,2021/03/24,12:24:20.910322
-38.0,1040.0,-163.0,2021/03/24,12:24:20.926595
-35.0,1041.0,-163.0,2021/03/24,12:24:20.942843
-37.0,1038.0,-166.0,2021/03/24,12:24:20.959099
-36.0,1039.0,-165.0,2021/03/24,12:24:20.975358
-38.0,1038.0,-171.0,2021/03/24,12:24:20.991621
-36.0,1041.0,-161.0,2021/03/24,12:24:21.007877
-36.0,1040.0,-165.0,2021/03/24,12:24:21.024136
-36.0,1037.0,-162.0,2021/03/24,12:24:21.040391
-36.0,1037.0,-159.0,2021/03/24,12:24:21.056663
-32.0,1038.0,-157.0,2021/03/24,12:24:21.072913
-36.0,1039.0,-167.0,2021/03/24,12:24:21.089166
-36.0,1040.0,-159.0,2021/03/24,12:24:21.105418
-39.0,1037.0,-157.0,2021/03/24,12:24:21.121678
-34.0,1041.0,-157.0,2021/03/24,12:24:21.137933
-38.0,1037.0,-174.0,2021/03/24,12:24:21.154207
