x_accel,y_accel,z_accel,Year/Month/Day,Hours:Minutes:Seconds.Milliseconds
-24.0,1043.0,-133.0,2021/03/24,12:42:45.485690
-25.0,1041.0,-135.0,2021/03/24,12:42:45.502058
-20.0,1040.0,-129.0,2021/03/24,12:42:45.518412
-21.0,1040.0,-135.0,2021/03/24,12:42:45.534744
-25.0,1048.0,-130.0,2021/03/24,12:42:45.551107
-28.0,1041.0,-152.0,2021/03/24,12:42:45.567417
-30.0,1044.0,-144.0,2021/03/24,12:42:45.583627
-25.0,1045.0,-146.0,2021/03/24,12:42:45.599850
-19.0,1043.0,-136.0,2021/03/24,12:42:45.616081
-21.0,1035.0,-144.0,2021/03/24,12:42:45.632311
-25.0,1043.0,-148.0,2021/03/24,12:42:45.648537
-23.0,1050.0,-151.0,2021/03/24,12:42:45.664753
-28.0,1054.0,-151.0,2021/03/24,12:42:45.680968
-31.0,1047.0,-144.0,2021/03/24,12:42:45.697190
-34.0,1045.0,-139.0,2021/03/24,12:42:45.713419
-34.0,1042.0,-134.0,2021/03/24,12:42:45.729642
-36.0,1035.0,-137.0,2021/03/24,12:42:45.745875
-29.0,1033.0,-129.0,2021/03/24,12:42:45.762096
-23.0,1036.0,-137.0,2021/03/24,12:42:45.778316
-23.0,1039.0,-137.0,2021/03/24,12:42:45.794543
-26.0,1046.0,-138.0,2021/03/24,12:42:45.810770
-26.0,1044.0,-142.0,2021/03/24,12:42:45.827012
-27.0,1053.0,-146.0,2021/03/24,12:42:45.843259
-25.0,1044.0,-151.0,2021/03/24,12:42:45.859488
-27.0,1047.0,-151.0,2021/03/24,12:42:45.875710
-33.0,1046.0,-154.0,2021/03/24,12:42:45.891921
-31.0,1050.0,-150.0,2021/03/24,12:42:45.908137
-31.0,1042.0,-161.0,2021/03/24,12:42:45.924353
-34.0,1050.0,-153.0,2021/03/24,12:42:45.940575
-40.0,1043.0,-144.0,2021/03/24,12:42:45.956804
-38.0,1041.0,-155.0,2021/03/24,12:42:45.973016
-32.0,1038.0,-148.0,2021/03/24,12:42:45.989225
-26.0,1042.0,-147.0,2021/03/24,12:42:46.005451
-29.0,1041.0,-149.0,2021/03/24,12:42:46.021676
-24.0,1044.0,-143.0,2021/03/24,12:42:46.037898
-23.0,1038.0,-146.0,2021/03/24,12:42:46.054108
-22.0,1039.0,-149.0,2021/03/24,12:42:46.070320
-29.0,1046.0,-146.0,2021/03/24,12:42:46.086553
-32.0,1038.0,-146.0,2021/03/24,12:42:46.102783
-26.0,1035.0,-151.0,2021/03/24,12:42:46.119013
-32.0,1044.0,-146.0,2021/03/24,12:42:46.135237
-30.0,1045.0,-151.0,2021/03/24,12:42:46.151459
-31.0,1040.0,-145.0,2021/03/24,12:42:46.167686
-25.0,1038.0,-145.0,2021/03/24,12:42:46.183914
-21.0,1042.0,-159.0,2021/03/24,12:42:46.200146
-25.0,1041.0,-153.0,2021/03/24,12:42:46.216356
-27.0,1050.0,-155.0,2021/03/24,12:42:46.232563
-24.0,1048.0,-155.0,2021/03/24,12:42:46.248787
-22.0,1040.0,-152.0,2021/03/24,12:42:46.265015
-28.0,1038.0,-154.0,2021/03/24,12:42:46.281247
-25.0,1039.0,-153.0,2021/03/24,12:42:46.297454
-25.0,1040.0,-149.0,2021/03/24,12:42:46.313671
-32.0,1037.0,-153.0,2021/03/24,12:42:46.329876
