x_accel,y_accel,z_accel,Year/Month/Day,Hours:Minutes:Seconds.Milliseconds
1.0,20.0,-1003.0,2021/03/24,23:33:47.851148
0.0,18.0,-997.0,2021/03/24,23:33:47.867490
2.0,22.0,-1005.0,2021/03/24,23:33:47.883838
0.0,21.0,-999.0,2021/03/24,23:33:47.900215
5.0,21.0,-1003.0,2021/03/24,23:33:47.916733
3.0,21.0,-1005.0,2021/03/24,23:33:47.933107
0.0,20.0,-999.0,2021/03/24,23:33:47.949457
-1.0,20.0,-993.0,2021/03/24,23:33:47.965712
0.0,19.0,-1000.0,2021/03/24,23:33:47.981963
2.0,22.0,-998.0,2021/03/24,23:33:47.998216
1.0,14.0,-1002.0,2021/03/24,23:33:48.014469
2.0,23.0,-1003.0,2021/03/24,23:33:48.030716
0.0,17.0,-1000.0,2021/03/24,23:33:48.046969
-2.0,19.0,-1003.0,2021/03/24,23:33:48.063223
6.0,26.0,-1004.0,2021/03/24,23:33:48.079501
-3.0,23.0,-1001.0,2021/03/24,23:33:48.095755
-1.0,24.0,-1000.0,2021/03/24,23:33:48.111999
3.0,19.0,-1002.0,2021/03/24,23:33:48.128245
0.0,19.0,-998.0,2021/03/24,23:33:48.144492
1.0,26.0,-999.0,2021/03/24,23:33:48.160737
0.0,23.0,-1003.0,2021/03/24,23:33:48.176989
0.0,22.0,-1008.0,2021/03/24,23:33:48.193228
3.0,20.0,-1002.0,2021/03/24,23:33:48.209495
1.0,18.0,-999.0,2021/03/24,23:33:48.225737
-1.0,19.0,-1008.0,2021/03/24,23:33:48.241984
-5.0,21.0,-1007.0,2021/03/24,23:33:48.258243
1.0,17.0,-999.0,2021/03/24,23:33:48.274486
1.0,17.0,-1002.0,2021/03/24,23:33:48.290728
-4.0,24.0,-1002.0,2021/03/24,23:33:48.306983
1.0,20.0,-1001.0,2021/03/24,23:33:48.323273
3.0,17.0,-1003.0,2021/03/24,23:33:48.339521
3.0,22.0,-1006.0,2021/03/24,23:33:48.355770
0.0,22.0,-999.0,2021/03/24,23:33:48.372017
3.0,20.0,-1004.0,2021/03/24,23:33:48.388268
-1.0,23.0,-1002.0,2021/03/24,23:33:48.404533
8.0,23.0,-997.0,2021/03/24,23:33:48.420784
2.0,19.0,-997.0,2021/03/24,23:33:48.437023
0.0,23.0,-999.0,2021/03/24,23:33:48.453278
2.0,23.0,-1000.0,2021/03/24,23:33:48.469534
0.0,24.0,-1003.0,2021/03/24,23:33:48.486159
3.0,19.0,-1005.0,2021/03/24,23:33:48.502509
2.0,19.0,-1004.0,2021/03/24,23:33:48.518772
1.0,23.0,-996.0,2021/03/24,23:33:48.535021
3.0,22.0,-999.0,2021/03/24,23:33:48.551272
2.0,23.0,-1001.0,2021/03/24,23:33:48.567533
0.0,22.0,-1005.0,2021/03/24,23:33:48.583783
0.0,25.0,-1006.0,2021/03/24,23:33:48.600026
-1.0,20.0,-995.0,2021/03/24,23:33:48.616270
-1.0,20.0,-1000.0,2021/03/24,23:33:48.632516
0.0,20.0,-1004.0,2021/03/24,23:33:48.648779
0.0,20.0,-997.0,2021/03/24,23:33:48.665033
0.0,19.0,-1003.0,2021/03/24,23:33:48.681278
5.0,19.0,-1005.0,2021/03/24,23:33:48.697525
0.0,19.0,-1001.0,2021/03/24,23:33:48.713773
2.0,19.0,-999.0,2021/03/24,23:33:48.730015
1.0,21.0,-1002.0,2021/03/24,23:33:48.746261
0.0,22.0,-1000.0,2021/03/24,23:33:48.762501
-2.0,21.0,-1006.0,2021/03/24,23:33:48.778740
0.0,22.0,-1006.0,2021/03/24,23:33:48.794996
3.0,24.0,-1001.0,2021/03/24,23:33:48.811243
0.0,22.0,-1005.0,2021/03/24,23:33:48.829526
3.0,17.0,-1005.0,2021/03/24,23:33:48.845820
3.0,21.0,-1000.0,2021/03/24,23:33:48.862095
2.0,24.0,-1004.0,2021/03/24,23:33:48.878349
1.0,23.0,-999.0,2021/03/24,23:33:48.894597
3.0,16.0,-1005.0,2021/03/24,23:33:48.911285
2.0,21.0,-996.0,2021/03/24,23:33:48.927542
3.0,23.0,-1003.0,2021/03/24,23:33:48.943787
3.0,23.0,-1004.0,2021/03/24,23:33:48.960040
3.0,19.0,-1008.0,2021/03/24,23:33:48.976289
0.0,22.0,-1003.0,2021/03/24,23:33:48.992527
0.0,24.0,-1003.0,2021/03/24,23:33:49.008781
0.0,20.0,-994.0,2021/03/24,23:33:49.025030
-2.0,22.0,-998.0,2021/03/24,23:33:49.041275
-2.0,25.0,-1004.0,2021/03/24,23:33:49.057530
0.0,20.0,-1003.0,2021/03/24,23:33:49.073770
-1.0,23.0,-998.0,2021/03/24,23:33:49.090019
4.0,23.0,-1004.0,2021/03/24,23:33:49.106269
0.0,22.0,-1002.0,2021/03/24,23:33:49.122526
-1.0,20.0,-999.0,2021/03/24,23:33:49.138771
2.0,19.0,-1000.0,2021/03/24,23:33:49.155017
4.0,23.0,-1002.0,2021/03/24,23:33:49.171271
2.0,20.0,-999.0,2021/03/24,23:33:49.187522
0.0,20.0,-1007.0,2021/03/24,23:33:49.203769
0.0,22.0,-1002.0,2021/03/24,23:33:49.220022
0.0,23.0,-1003.0,2021/03/24,23:33:49.236275
4.0,20.0,-998.0,2021/03/24,23:33:49.252529
-4.0,19.0,-1007.0,2021/03/24,23:33:49.268778
6.0,21.0,-1002.0,2021/03/24,23:33:49.285027
-2.0,18.0,-1007.0,2021/03/24,23:33:49.301274
0.0,22.0,-997.0,2021/03/24,23:33:49.317517
1.0,21.0,-1003.0,2021/03/24,23:33:49.333754
0.0,21.0,-1001.0,2021/03/24,23:33:49.349998
2.0,15.0,-996.0,2021/03/24,23:33:49.366253
2.0,23.0,-996.0,2021/03/24,23:33:49.382497
0.0,23.0,-997.0,2021/03/24,23:33:49.398744
2.0,24.0,-1003.0,2021/03/24,23:33:49.415008
0.0,23.0,-999.0,2021/03/24,23:33:49.431251
-1.0,25.0,-1006.0,2021/03/24,23:33:49.447498
5.0,23.0,-1003.0,2021/03/24,23:33:49.463754
1.0,21.0,-1005.0,2021/03/24,23:33:49.480003
3.0,20.0,-1004.0,2021/03/24,23:33:49.496251
5.0,22.0,-1004.0,2021/03/24,23:33:49.512514
-2.0,21.0,-996.0,2021/03/24,23:33:49.528768
0.0,22.0,-1006.0,2021/03/24,23:33:49.545008
0.0,20.0,-998.0,2021/03/24,23:33:49.561251
5.0,21.0,-1002.0,2021/03/24,23:33:49.577502
1.0,22.0,-1002.0,2021/03/24,23:33:49.593746
-3.0,22.0,-1000.0,2021/03/24,23:33:49.609997
-1.0,18.0,-1006.0,2021/03/24,23:33:49.626246
1.0,22.0,-1005.0,2021/03/24,23:33:49.642492
1.0,20.0,-996.0,2021/03/24,23:33:49.658744
0.0,17.0,-1011.0,2021/03/24,23:33:49.675003
4.0,23.0,-1003.0,2021/03/24,23:33:49.691255
4.0,14.0,-1006.0,2021/03/24,23:33:49.707507
5.0,19.0,-1006.0,2021/03/24,23:33:49.723748
-3.0,20.0,-998.0,2021/03/24,23:33:49.739994
0.0,22.0,-1000.0,2021/03/24,23:33:49.756246
0.0,21.0,-1004.0,2021/03/24,23:33:49.772500
0.0,21.0,-999.0,2021/03/24,23:33:49.788744
1.0,21.0,-1000.0,2021/03/24,23:33:49.804991
0.0,18.0,-1004.0,2021/03/24,23:33:49.821240
1.0,21.0,-1004.0,2021/03/24,23:33:49.837491
3.0,25.0,-1002.0,2021/03/24,23:33:49.853740
1.0,25.0,-1000.0,2021/03/24,23:33:49.869984
-1.0,20.0,-1002.0,2021/03/24,23:33:49.886230
2.0,22.0,-994.0,2021/03/24,23:33:49.902476
3.0,22.0,-1004.0,2021/03/24,23:33:49.918741
0.0,21.0,-1005.0,2021/03/24,23:33:49.934989
2.0,26.0,-1006.0,2021/03/24,23:33:49.951225
1.0,22.0,-1000.0,2021/03/24,23:33:49.967475
0.0,20.0,-1005.0,2021/03/24,23:33:49.983720
0.0,17.0,-1001.0,2021/03/24,23:33:49.999965
2.0,23.0,-1000.0,2021/03/24,23:33:50.016355
0.0,22.0,-1006.0,2021/03/24,23:33:50.032698
0.0,20.0,-1003.0,2021/03/24,23:33:50.048943
2.0,23.0,-999.0,2021/03/24,23:33:50.065193
1.0,24.0,-1000.0,2021/03/24,23:33:50.081447
1.0,23.0,-998.0,2021/03/24,23:33:50.097701
0.0,21.0,-1005.0,2021/03/24,23:33:50.113978
0.0,25.0,-1005.0,2021/03/24,23:33:50.130228
-1.0,24.0,-998.0,2021/03/24,23:33:50.146482
5.0,21.0,-1001.0,2021/03/24,23:33:50.162738
4.0,20.0,-1006.0,2021/03/24,23:33:50.178991
2.0,22.0,-999.0,2021/03/24,23:33:50.195236
3.0,20.0,-1006.0,2021/03/24,23:33:50.211478
-4.0,25.0,-998.0,2021/03/24,23:33:50.227726
1.0,23.0,-1000.0,2021/03/24,23:33:50.243978
0.0,20.0,-998.0,2021/03/24,23:33:50.260225
-2.0,17.0,-1007.0,2021/03/24,23:33:50.276470
1.0,21.0,-1000.0,2021/03/24,23:33:50.292712
0.0,25.0,-996.0,2021/03/24,23:33:50.308957
0.0,22.0,-1000.0,2021/03/24,23:33:50.325214
-2.0,20.0,-1007.0,2021/03/24,23:33:50.341460
0.0,21.0,-1002.0,2021/03/24,23:33:50.357715
1.0,23.0,-998.0,2021/03/24,23:33:50.373972
3.0,19.0,-1001.0,2021/03/24,23:33:50.390211
-6.0,30.0,-1003.0,2021/03/24,23:33:50.406461
0.0,23.0,-1003.0,2021/03/24,23:33:50.422722
0.0,23.0,-996.0,2021/03/24,23:33:50.438970
0.0,26.0,-1002.0,2021/03/24,23:33:50.455215
0.0,21.0,-1000.0,2021/03/24,23:33:50.471461
0.0,21.0,-1003.0,2021/03/24,23:33:50.487710
4.0,24.0,-1002.0,2021/03/24,23:33:50.503951
0.0,20.0,-999.0,2021/03/24,23:33:50.520199
4.0,22.0,-1003.0,2021/03/24,23:33:50.536445
4.0,21.0,-1003.0,2021/03/24,23:33:50.552689
3.0,22.0,-998.0,2021/03/24,23:33:50.568945
0.0,18.0,-1001.0,2021/03/24,23:33:50.585193
3.0,18.0,-999.0,2021/03/24,23:33:50.601446
0.0,21.0,-1005.0,2021/03/24,23:33:50.617697
3.0,22.0,-1005.0,2021/03/24,23:33:50.633945
0.0,20.0,-1001.0,2021/03/24,23:33:50.650203
4.0,20.0,-997.0,2021/03/24,23:33:50.666467
1.0,21.0,-992.0,2021/03/24,23:33:50.682717
1.0,16.0,-998.0,2021/03/24,23:33:50.698965
-2.0,18.0,-1006.0,2021/03/24,23:33:50.715225
1.0,20.0,-1004.0,2021/03/24,23:33:50.731475
0.0,18.0,-999.0,2021/03/24,23:33:50.747725
1.0,20.0,-1003.0,2021/03/24,23:33:50.763972
2.0,22.0,-999.0,2021/03/24,23:33:50.780217
-1.0,22.0,-1003.0,2021/03/24,23:33:50.796469
3.0,24.0,-1004.0,2021/03/24,23:33:50.812716
1.0,22.0,-996.0,2021/03/24,23:33:50.828961
3.0,21.0,-1002.0,2021/03/24,23:33:50.845205
3.0,16.0,-1003.0,2021/03/24,23:33:50.861447
-2.0,20.0,-1006.0,2021/03/24,23:33:50.877698
-1.0,19.0,-1005.0,2021/03/24,23:33:50.893954
-1.0,19.0,-1006.0,2021/03/24,23:33:50.910193
-2.0,18.0,-996.0,2021/03/24,23:33:50.926441
1.0,19.0,-1000.0,2021/03/24,23:33:50.942683
1.0,22.0,-1007.0,2021/03/24,23:33:50.958931
-1.0,18.0,-998.0,2021/03/24,23:33:50.975183
0.0,19.0,-1005.0,2021/03/24,23:33:50.991428
0.0,17.0,-1001.0,2021/03/24,23:33:51.007698
0.0,20.0,-997.0,2021/03/24,23:33:51.023954
-1.0,27.0,-1004.0,2021/03/24,23:33:51.040197
0.0,21.0,-998.0,2021/03/24,23:33:51.056448
0.0,18.0,-1000.0,2021/03/24,23:33:51.072692
1.0,23.0,-999.0,2021/03/24,23:33:51.088938
4.0,21.0,-1002.0,2021/03/24,23:33:51.105189
1.0,16.0,-1003.0,2021/03/24,23:33:51.121432
-2.0,16.0,-1007.0,2021/03/24,23:33:51.137691
0.0,18.0,-1006.0,2021/03/24,23:33:51.153931
1.0,21.0,-1003.0,2021/03/24,23:33:51.170301
0.0,22.0,-1002.0,2021/03/24,23:33:51.186862
0.0,22.0,-1001.0,2021/03/24,23:33:51.203593
2.0,21.0,-997.0,2021/03/24,23:33:51.220086
0.0,19.0,-996.0,2021/03/24,23:33:51.237576
-1.0,24.0,-1009.0,2021/03/24,23:33:51.254029
1.0,21.0,-995.0,2021/03/24,23:33:51.270489
2.0,22.0,-996.0,2021/03/24,23:33:51.287222
0.0,20.0,-997.0,2021/03/24,23:33:51.303836
-2.0,21.0,-1004.0,2021/03/24,23:33:51.320391
0.0,22.0,-1002.0,2021/03/24,23:33:51.336883
3.0,18.0,-1003.0,2021/03/24,23:33:51.353321
0.0,24.0,-1002.0,2021/03/24,23:33:51.369690
-2.0,20.0,-1005.0,2021/03/24,23:33:51.385943
0.0,20.0,-1005.0,2021/03/24,23:33:51.402184
0.0,22.0,-1004.0,2021/03/24,23:33:51.418434
2.0,22.0,-1006.0,2021/03/24,23:33:51.434678
0.0,21.0,-1007.0,2021/03/24,23:33:51.450930
0.0,20.0,-997.0,2021/03/24,23:33:51.467188
5.0,20.0,-999.0,2021/03/24,23:33:51.483442
0.0,18.0,-999.0,2021/03/24,23:33:51.499691
1.0,20.0,-1000.0,2021/03/24,23:33:51.515938
2.0,20.0,-1007.0,2021/03/24,23:33:51.532175
0.0,23.0,-1005.0,2021/03/24,23:33:51.548421
2.0,26.0,-1002.0,2021/03/24,23:33:51.564668
3.0,25.0,-999.0,2021/03/24,23:33:51.580902
1.0,20.0,-1002.0,2021/03/24,23:33:51.597165
0.0,21.0,-1000.0,2021/03/24,23:33:51.613405
0.0,20.0,-1004.0,2021/03/24,23:33:51.629643
7.0,21.0,-1001.0,2021/03/24,23:33:51.645895
0.0,16.0,-1002.0,2021/03/24,23:33:51.662151
3.0,21.0,-1005.0,2021/03/24,23:33:51.678392
2.0,15.0,-1001.0,2021/03/24,23:33:51.694626
4.0,21.0,-1000.0,2021/03/24,23:33:51.710935
2.0,22.0,-1004.0,2021/03/24,23:33:51.727184
0.0,20.0,-998.0,2021/03/24,23:33:51.743438
-1.0,26.0,-1006.0,2021/03/24,23:33:51.759694
-1.0,21.0,-1005.0,2021/03/24,23:33:51.775935
-1.0,19.0,-1002.0,2021/03/24,23:33:51.792177
-3.0,21.0,-1007.0,2021/03/24,23:33:51.808428
-1.0,24.0,-1001.0,2021/03/24,23:33:51.824672
5.0,20.0,-1001.0,2021/03/24,23:33:51.840906
0.0,19.0,-1004.0,2021/03/24,23:33:51.857144
1.0,19.0,-998.0,2021/03/24,23:33:51.873391
-1.0,20.0,-999.0,2021/03/24,23:33:51.889640
3.0,21.0,-1003.0,2021/03/24,23:33:51.905893
0.0,21.0,-1000.0,2021/03/24,23:33:51.922131
1.0,23.0,-999.0,2021/03/24,23:33:51.938367
0.0,20.0,-995.0,2021/03/24,23:33:51.954614
1.0,22.0,-1002.0,2021/03/24,23:33:51.970856
4.0,23.0,-1001.0,2021/03/24,23:33:51.987108
0.0,23.0,-1000.0,2021/03/24,23:33:52.003352
0.0,18.0,-1007.0,2021/03/24,23:33:52.019594
1.0,22.0,-1009.0,2021/03/24,23:33:52.035839
0.0,23.0,-1000.0,2021/03/24,23:33:52.052076
1.0,24.0,-998.0,2021/03/24,23:33:52.068336
0.0,19.0,-997.0,2021/03/24,23:33:52.084572
2.0,22.0,-1000.0,2021/03/24,23:33:52.100814
0.0,20.0,-1001.0,2021/03/24,23:33:52.117055
-2.0,19.0,-1000.0,2021/03/24,23:33:52.133289
1.0,19.0,-1004.0,2021/03/24,23:33:52.149532
0.0,20.0,-1002.0,2021/03/24,23:33:52.165778
1.0,20.0,-997.0,2021/03/24,23:33:52.182011
0.0,20.0,-1004.0,2021/03/24,23:33:52.198258
0.0,23.0,-1002.0,2021/03/24,23:33:52.214498
-1.0,21.0,-1003.0,2021/03/24,23:33:52.230743
-2.0,22.0,-1003.0,2021/03/24,23:33:52.246981
0.0,23.0,-1004.0,2021/03/24,23:33:52.263223
1.0,20.0,-1007.0,2021/03/24,23:33:52.279477
1.0,21.0,-999.0,2021/03/24,23:33:52.295727
0.0,18.0,-1000.0,2021/03/24,23:33:52.311982
0.0,22.0,-1003.0,2021/03/24,23:33:52.328248
-2.0,16.0,-995.0,2021/03/24,23:33:52.344491
1.0,18.0,-1003.0,2021/03/24,23:33:52.360727
0.0,23.0,-1007.0,2021/03/24,23:33:52.376968
4.0,27.0,-1008.0,2021/03/24,23:33:52.393207
0.0,19.0,-1006.0,2021/03/24,23:33:52.409468
0.0,20.0,-1000.0,2021/03/24,23:33:52.425709
2.0,16.0,-1004.0,2021/03/24,23:33:52.441950
0.0,23.0,-997.0,2021/03/24,23:33:52.458201
2.0,23.0,-1000.0,2021/03/24,23:33:52.474450
1.0,23.0,-1004.0,2021/03/24,23:33:52.490690
-1.0,18.0,-999.0,2021/03/24,23:33:52.506939
0.0,18.0,-1004.0,2021/03/24,23:33:52.523180
-1.0,23.0,-1000.0,2021/03/24,23:33:52.539435
1.0,21.0,-997.0,2021/03/24,23:33:52.555691
0.0,21.0,-999.0,2021/03/24,23:33:52.571929
1.0,23.0,-996.0,2021/03/24,23:33:52.588162
2.0,19.0,-1003.0,2021/03/24,23:33:52.604410
-1.0,22.0,-1002.0,2021/03/24,23:33:52.620663
0.0,23.0,-1004.0,2021/03/24,23:33:52.636907
2.0,21.0,-1002.0,2021/03/24,23:33:52.653138
3.0,22.0,-1000.0,2021/03/24,23:33:52.669375
0.0,23.0,-997.0,2021/03/24,23:33:52.685616
1.0,22.0,-1001.0,2021/03/24,23:33:52.701869
5.0,24.0,-1005.0,2021/03/24,23:33:52.718111
2.0,20.0,-1003.0,2021/03/24,23:33:52.734344
0.0,18.0,-997.0,2021/03/24,23:33:52.750599
6.0,17.0,-1005.0,2021/03/24,23:33:52.766847
4.0,21.0,-1000.0,2021/03/24,23:33:52.783090
0.0,21.0,-1005.0,2021/03/24,23:33:52.799330
0.0,21.0,-1005.0,2021/03/24,23:33:52.815573
2.0,22.0,-1005.0,2021/03/24,23:33:52.831822
3.0,23.0,-1001.0,2021/03/24,23:33:52.848070
1.0,23.0,-1004.0,2021/03/24,23:33:52.864312
3.0,23.0,-999.0,2021/03/24,23:33:52.880555
-1.0,17.0,-1006.0,2021/03/24,23:33:52.896799
2.0,22.0,-995.0,2021/03/24,23:33:52.913040
2.0,20.0,-1000.0,2021/03/24,23:33:52.929287
0.0,22.0,-1000.0,2021/03/24,23:33:52.945527
2.0,20.0,-1001.0,2021/03/24,23:33:52.961766
0.0,22.0,-1009.0,2021/03/24,23:33:52.978015
2.0,19.0,-1005.0,2021/03/24,23:33:52.994280
1.0,22.0,-1004.0,2021/03/24,23:33:53.010525
0.0,20.0,-1000.0,2021/03/24,23:33:53.026768
1.0,18.0,-1002.0,2021/03/24,23:33:53.043007
-1.0,17.0,-1001.0,2021/03/24,23:33:53.059252
3.0,19.0,-1001.0,2021/03/24,23:33:53.075502
0.0,22.0,-1001.0,2021/03/24,23:33:53.091736
6.0,21.0,-996.0,2021/03/24,23:33:53.107993
-2.0,20.0,-1004.0,2021/03/24,23:33:53.124255
2.0,22.0,-1005.0,2021/03/24,23:33:53.140494
4.0,21.0,-1005.0,2021/03/24,23:33:53.156744
3.0,21.0,-1004.0,2021/03/24,23:33:53.172984
0.0,23.0,-1001.0,2021/03/24,23:33:53.189230
0.0,20.0,-1001.0,2021/03/24,23:33:53.205467
0.0,20.0,-1003.0,2021/03/24,23:33:53.221706
0.0,18.0,-1006.0,2021/03/24,23:33:53.237964
5.0,21.0,-1005.0,2021/03/24,23:33:53.254222
1.0,21.0,-1001.0,2021/03/24,23:33:53.270480
3.0,21.0,-1001.0,2021/03/24,23:33:53.286724
2.0,22.0,-1000.0,2021/03/24,23:33:53.302975
0.0,23.0,-1005.0,2021/03/24,23:33:53.319214
2.0,21.0,-998.0,2021/03/24,23:33:53.335464
1.0,26.0,-1006.0,2021/03/24,23:33:53.351706
0.0,21.0,-994.0,2021/03/24,23:33:53.367943
-4.0,22.0,-1000.0,2021/03/24,23:33:53.384202
2.0,19.0,-1001.0,2021/03/24,23:33:53.400450
1.0,21.0,-997.0,2021/03/24,23:33:53.416704
0.0,24.0,-1003.0,2021/03/24,23:33:53.432956
2.0,23.0,-1004.0,2021/03/24,23:33:53.449195
3.0,20.0,-1004.0,2021/03/24,23:33:53.465439
0.0,21.0,-998.0,2021/03/24,23:33:53.481687
0.0,16.0,-1002.0,2021/03/24,23:33:53.497931
0.0,15.0,-998.0,2021/03/24,23:33:53.514182
1.0,20.0,-997.0,2021/03/24,23:33:53.530425
0.0,20.0,-997.0,2021/03/24,23:33:53.546671
-4.0,25.0,-1002.0,2021/03/24,23:33:53.562918
-1.0,20.0,-997.0,2021/03/24,23:33:53.579174
-3.0,19.0,-998.0,2021/03/24,23:33:53.595415
0.0,18.0,-1001.0,2021/03/24,23:33:53.611668
-2.0,19.0,-999.0,2021/03/24,23:33:53.627911
4.0,23.0,-1002.0,2021/03/24,23:33:53.644161
0.0,17.0,-1000.0,2021/03/24,23:33:53.660410
0.0,19.0,-1000.0,2021/03/24,23:33:53.676655
