x_accel,y_accel,z_accel,Year/Month/Day,Hours:Minutes:Seconds.Milliseconds
-13.0,27.0,-999.0,2021/03/25,01:02:21.992148
-12.0,29.0,-994.0,2021/03/25,01:02:22.020761
-15.0,23.0,-1008.0,2021/03/25,01:02:22.037177
-14.0,22.0,-1004.0,2021/03/25,01:02:22.053656
-17.0,23.0,-997.0,2021/03/25,01:02:22.069961
-17.0,23.0,-1005.0,2021/03/25,01:02:22.086212
-14.0,25.0,-1001.0,2021/03/25,01:02:22.102476
-11.0,20.0,-1005.0,2021/03/25,01:02:22.118731
-14.0,26.0,-997.0,2021/03/25,01:02:22.134979
-8.0,27.0,-1004.0,2021/03/25,01:02:22.151228
-13.0,30.0,-1005.0,2021/03/25,01:02:22.167479
-14.0,26.0,-1005.0,2021/03/25,01:02:22.183728
-17.0,26.0,-1006.0,2021/03/25,01:02:22.199984
-15.0,15.0,-999.0,2021/03/25,01:02:22.216237
-13.0,15.0,-1001.0,2021/03/25,01:02:22.232495
-13.0,15.0,-996.0,2021/03/25,01:02:22.248746
-7.0,16.0,-1009.0,2021/03/25,01:02:22.265013
-9.0,18.0,-1012.0,2021/03/25,01:02:22.281258
-11.0,16.0,-1000.0,2021/03/25,01:02:22.297516
-14.0,19.0,-998.0,2021/03/25,01:02:22.313761
-12.0,20.0,-998.0,2021/03/25,01:02:22.330013
-14.0,22.0,-1003.0,2021/03/25,01:02:22.346273
-15.0,20.0,-1002.0,2021/03/25,01:02:22.362534
-15.0,19.0,-1000.0,2021/03/25,01:02:22.378781
-16.0,17.0,-1006.0,2021/03/25,01:02:22.395031
-13.0,21.0,-997.0,2021/03/25,01:02:22.411281
-11.0,27.0,-1000.0,2021/03/25,01:02:22.427545
-17.0,23.0,-996.0,2021/03/25,01:02:22.443796
-14.0,21.0,-999.0,2021/03/25,01:02:22.460044
-16.0,20.0,-1000.0,2021/03/25,01:02:22.476291
-16.0,23.0,-1004.0,2021/03/25,01:02:22.492542
-8.0,21.0,-1003.0,2021/03/25,01:02:22.508803
-7.0,24.0,-1002.0,2021/03/25,01:02:22.525058
-15.0,20.0,-1000.0,2021/03/25,01:02:22.541320
-15.0,23.0,-1003.0,2021/03/25,01:02:22.557583
-12.0,20.0,-1004.0,2021/03/25,01:02:22.573831
-16.0,31.0,-998.0,2021/03/25,01:02:22.590086
-9.0,27.0,-1010.0,2021/03/25,01:02:22.606340
-9.0,25.0,-997.0,2021/03/25,01:02:22.622587
-15.0,23.0,-994.0,2021/03/25,01:02:22.638839
-17.0,19.0,-997.0,2021/03/25,01:02:22.655094
-15.0,23.0,-996.0,2021/03/25,01:02:22.671350
-5.0,16.0,-915.0,2021/03/25,01:02:22.687598
-14.0,36.0,-1074.0,2021/03/25,01:02:22.703845
-30.0,41.0,-1037.0,2021/03/25,01:02:22.720094
-15.0,35.0,-1012.0,2021/03/25,01:02:22.736351
1.0,6.0,-998.0,2021/03/25,01:02:22.752606
3.0,3.0,-991.0,2021/03/25,01:02:22.768858
-17.0,10.0,-983.0,2021/03/25,01:02:22.785113
-11.0,8.0,-972.0,2021/03/25,01:02:22.801366
-7.0,14.0,-995.0,2021/03/25,01:02:22.817627
-8.0,25.0,-1022.0,2021/03/25,01:02:22.833896
-13.0,37.0,-1014.0,2021/03/25,01:02:22.850149
-10.0,30.0,-998.0,2021/03/25,01:02:22.866404
-9.0,31.0,-991.0,2021/03/25,01:02:22.882656
-19.0,33.0,-1007.0,2021/03/25,01:02:22.898910
-19.0,27.0,-1001.0,2021/03/25,01:02:22.915174
-15.0,25.0,-999.0,2021/03/25,01:02:22.931427
-13.0,30.0,-1002.0,2021/03/25,01:02:22.947680
-14.0,29.0,-999.0,2021/03/25,01:02:22.963927
-16.0,28.0,-999.0,2021/03/25,01:02:22.980176
-16.0,23.0,-995.0,2021/03/25,01:02:22.996433
-20.0,23.0,-992.0,2021/03/25,01:02:23.012709
-18.0,23.0,-998.0,2021/03/25,01:02:23.028960
-16.0,17.0,-1009.0,2021/03/25,01:02:23.045212
-12.0,13.0,-985.0,2021/03/25,01:02:23.061465
-17.0,11.0,-959.0,2021/03/25,01:02:23.077719
-11.0,7.0,-970.0,2021/03/25,01:02:23.093968
-24.0,13.0,-982.0,2021/03/25,01:02:23.110217
-6.0,13.0,-987.0,2021/03/25,01:02:23.126464
-14.0,25.0,-1011.0,2021/03/25,01:02:23.142740
-28.0,56.0,-1047.0,2021/03/25,01:02:23.159323
-23.0,44.0,-1061.0,2021/03/25,01:02:23.175594
-27.0,43.0,-1039.0,2021/03/25,01:02:23.191843
-27.0,39.0,-1014.0,2021/03/25,01:02:23.208096
-30.0,38.0,-1007.0,2021/03/25,01:02:23.224347
-31.0,39.0,-1002.0,2021/03/25,01:02:23.240598
-32.0,47.0,-997.0,2021/03/25,01:02:23.256865
-37.0,42.0,-990.0,2021/03/25,01:02:23.273114
-41.0,51.0,-991.0,2021/03/25,01:02:23.289367
-45.0,50.0,-998.0,2021/03/25,01:02:23.305630
-41.0,52.0,-1003.0,2021/03/25,01:02:23.321886
-45.0,54.0,-1000.0,2021/03/25,01:02:23.338136
-36.0,46.0,-1000.0,2021/03/25,01:02:23.354391
-34.0,52.0,-1005.0,2021/03/25,01:02:23.370645
-28.0,47.0,-998.0,2021/03/25,01:02:23.386901
-30.0,42.0,-1002.0,2021/03/25,01:02:23.403159
-37.0,48.0,-1011.0,2021/03/25,01:02:23.419428
-34.0,54.0,-1015.0,2021/03/25,01:02:23.435684
-34.0,55.0,-1016.0,2021/03/25,01:02:23.451944
-30.0,51.0,-1007.0,2021/03/25,01:02:23.468213
-24.0,32.0,-992.0,2021/03/25,01:02:23.484476
-31.0,37.0,-996.0,2021/03/25,01:02:23.500730
-27.0,35.0,-970.0,2021/03/25,01:02:23.516984
-28.0,41.0,-992.0,2021/03/25,01:02:23.533254
-34.0,45.0,-1013.0,2021/03/25,01:02:23.549527
-30.0,54.0,-1021.0,2021/03/25,01:02:23.565786
-26.0,50.0,-1009.0,2021/03/25,01:02:23.582034
-27.0,52.0,-999.0,2021/03/25,01:02:23.598527
-28.0,41.0,-993.0,2021/03/25,01:02:23.614791
-33.0,41.0,-999.0,2021/03/25,01:02:23.631074
-39.0,53.0,-999.0,2021/03/25,01:02:23.647378
-31.0,48.0,-1012.0,2021/03/25,01:02:23.663650
-37.0,46.0,-1018.0,2021/03/25,01:02:23.679920
-33.0,46.0,-1006.0,2021/03/25,01:02:23.696193
-33.0,40.0,-994.0,2021/03/25,01:02:23.712480
-36.0,45.0,-1003.0,2021/03/25,01:02:23.728755
-36.0,45.0,-1006.0,2021/03/25,01:02:23.745030
-30.0,35.0,-992.0,2021/03/25,01:02:23.761309
-31.0,27.0,-965.0,2021/03/25,01:02:23.777587
-35.0,31.0,-980.0,2021/03/25,01:02:23.793843
-29.0,41.0,-1006.0,2021/03/25,01:02:23.810102
-21.0,59.0,-1031.0,2021/03/25,01:02:23.826357
-20.0,60.0,-1027.0,2021/03/25,01:02:23.842611
-24.0,42.0,-1012.0,2021/03/25,01:02:23.858868
-18.0,22.0,-999.0,2021/03/25,01:02:23.875133
-27.0,25.0,-986.0,2021/03/25,01:02:23.891384
-36.0,24.0,-972.0,2021/03/25,01:02:23.907637
-27.0,24.0,-997.0,2021/03/25,01:02:23.923891
-18.0,31.0,-1011.0,2021/03/25,01:02:23.940143
-19.0,26.0,-1019.0,2021/03/25,01:02:23.956415
-22.0,20.0,-1008.0,2021/03/25,01:02:23.972670
-26.0,26.0,-1004.0,2021/03/25,01:02:23.988930
-21.0,33.0,-1006.0,2021/03/25,01:02:24.005194
-16.0,34.0,-1014.0,2021/03/25,01:02:24.021451
-14.0,36.0,-1014.0,2021/03/25,01:02:24.037716
-17.0,40.0,-1006.0,2021/03/25,01:02:24.053976
-19.0,27.0,-1010.0,2021/03/25,01:02:24.070224
-18.0,25.0,-983.0,2021/03/25,01:02:24.086475
-25.0,24.0,-982.0,2021/03/25,01:02:24.102725
-19.0,26.0,-996.0,2021/03/25,01:02:24.118985
-18.0,27.0,-991.0,2021/03/25,01:02:24.135238
-21.0,29.0,-1008.0,2021/03/25,01:02:24.151485
-24.0,21.0,-1003.0,2021/03/25,01:02:24.167735
-24.0,15.0,-991.0,2021/03/25,01:02:24.183983
-21.0,15.0,-998.0,2021/03/25,01:02:24.200237
-28.0,20.0,-994.0,2021/03/25,01:02:24.216494
