x_accel,y_accel,z_accel,Year/Month/Day,Hours:Minutes:Seconds.Milliseconds
-36.0,1041.0,-132.0,2021/03/24,12:34:38.389364
-32.0,1044.0,-133.0,2021/03/24,12:34:38.423334
-35.0,1045.0,-135.0,2021/03/24,12:34:38.439671
-32.0,1046.0,-139.0,2021/03/24,12:34:38.456002
-36.0,1043.0,-132.0,2021/03/24,12:34:38.472317
-41.0,1049.0,-139.0,2021/03/24,12:34:38.488583
-43.0,1043.0,-132.0,2021/03/24,12:34:38.504834
-47.0,1049.0,-141.0,2021/03/24,12:34:38.521101
-39.0,1044.0,-130.0,2021/03/24,12:34:38.537332
-41.0,1047.0,-135.0,2021/03/24,12:34:38.553563
-35.0,1044.0,-136.0,2021/03/24,12:34:38.569801
-34.0,1046.0,-130.0,2021/03/24,12:34:38.586052
-38.0,1046.0,-133.0,2021/03/24,12:34:38.602283
-37.0,1043.0,-132.0,2021/03/24,12:34:38.618516
-33.0,1046.0,-121.0,2021/03/24,12:34:38.634745
-32.0,1042.0,-126.0,2021/03/24,12:34:38.650976
-31.0,1049.0,-129.0,2021/03/24,12:34:38.667214
-33.0,1040.0,-129.0,2021/03/24,12:34:38.683457
-31.0,1045.0,-127.0,2021/03/24,12:34:38.699690
-38.0,1044.0,-135.0,2021/03/24,12:34:38.715931
-39.0,1045.0,-133.0,2021/03/24,12:34:38.732154
-28.0,1043.0,-129.0,2021/03/24,12:34:38.748403
-33.0,1037.0,-127.0,2021/03/24,12:34:38.764642
-33.0,1042.0,-122.0,2021/03/24,12:34:38.780871
-29.0,1047.0,-136.0,2021/03/24,12:34:38.797107
-37.0,1045.0,-141.0,2021/03/24,12:34:38.813367
-38.0,1040.0,-136.0,2021/03/24,12:34:38.829606
-33.0,1040.0,-141.0,2021/03/24,12:34:38.845891
-34.0,1048.0,-134.0,2021/03/24,12:34:38.862125
-34.0,1042.0,-143.0,2021/03/24,12:34:38.878349
-41.0,1054.0,-134.0,2021/03/24,12:34:38.894583
-36.0,1049.0,-137.0,2021/03/24,12:34:38.910827
-37.0,1042.0,-140.0,2021/03/24,12:34:38.927059
-38.0,1045.0,-151.0,2021/03/24,12:34:38.943285
-31.0,1044.0,-153.0,2021/03/24,12:34:38.959513
-33.0,1048.0,-145.0,2021/03/24,12:34:38.975743
-34.0,1046.0,-143.0,2021/03/24,12:34:38.991970
-38.0,1045.0,-137.0,2021/03/24,12:34:39.008206
-35.0,1043.0,-138.0,2021/03/24,12:34:39.024438
-34.0,1044.0,-141.0,2021/03/24,12:34:39.040668
-32.0,1047.0,-146.0,2021/03/24,12:34:39.056898
-33.0,1044.0,-137.0,2021/03/24,12:34:39.073135
-29.0,1039.0,-137.0,2021/03/24,12:34:39.089374
-28.0,1041.0,-128.0,2021/03/24,12:34:39.105608
-25.0,1038.0,-150.0,2021/03/24,12:34:39.121841
-31.0,1036.0,-136.0,2021/03/24,12:34:39.138073
-34.0,1045.0,-147.0,2021/03/24,12:34:39.154316
-34.0,1040.0,-136.0,2021/03/24,12:34:39.170559
-32.0,1042.0,-130.0,2021/03/24,12:34:39.186795
-29.0,1044.0,-140.0,2021/03/24,12:34:39.203028
-33.0,1043.0,-145.0,2021/03/24,12:34:39.219268
-36.0,1046.0,-145.0,2021/03/24,12:34:39.235501
-37.0,1044.0,-139.0,2021/03/24,12:34:39.251739
-36.0,1039.0,-144.0,2021/03/24,12:34:39.267979
-35.0,1045.0,-138.0,2021/03/24,12:34:39.284209
-35.0,1043.0,-132.0,2021/03/24,12:34:39.300455
