Posiçao 1 - Bem sentado / Normal
 TopoDir BaixDir TopoEsq TopoDir             TrasDir TrasEsq FrenDir FrenEsq
 28198.4 11968.0 28345.6     0.0                 6.9     9.5     5.4     3.4
 28204.8 13292.8 28928.0     0.0                 6.9     9.5     5.4     3.4
 29241.6 14054.4 28928.0     0.0                 6.8     9.4     5.4     3.4
 29420.8 13964.8 29139.2     0.0                 6.9     9.5     5.4     3.3
 30099.2 14118.4 29164.8     0.0                 6.9     9.5     5.3     3.3
Posiçao 2 - Inclinado para a frente com as ancas bem posicionadas
  6060.8  2860.8  8518.4     0.0                 7.7     9.2     7.9     6.3
     0.0     0.0     0.0     0.0                 7.2     8.1     7.6     7.0
     0.0     0.0     0.0     0.0                 7.3     8.0     7.3     7.0
     0.0     0.0     0.0     0.0                 7.3     8.0     7.2     6.7
     0.0     0.0     0.0     0.0                 7.2     8.0     7.2     6.7
Posiçao 3 - Inclinado para a frente com as ancas mal posicionadas
     0.0     0.0     0.0     0.0                 2.9     3.4     9.2     9.4
     0.0     0.0     0.0     0.0                 0.9     1.1    13.4    14.1
     0.0     0.0     0.0     0.0                 0.8     1.4    13.1    13.5
     0.0     0.0     0.0     0.0                 0.7     1.4    13.0    13.4
     0.0     0.0     0.0     0.0                 0.5     1.5    12.9    13.3
Posiçao 4 - Inclinado para trás com as ancas mal posicionadas
 21305.6 12467.2     0.0     0.0                 5.4     5.1    10.7     8.8
 41817.6 26048.0     0.0     0.0                 7.7     6.6     8.2     5.9
 42963.2 24576.0     0.0     0.0                 7.7     6.6     8.2     5.8
 43347.2 24160.0     0.0     0.0                11.0     6.5     8.3     5.8
 43577.6 23872.0     0.0     0.0                 7.5     6.5     8.3     5.8
Posiçao 5 - Inclinado para o lado direito
 12953.6  7347.2     0.0     0.0                 6.5     7.7     6.7     5.0
 46182.4     0.0     0.0     0.0                11.2     9.8     7.9     1.9
 47532.8     0.0     0.0     0.0                11.2     9.8     6.9     2.0
 47705.6     0.0     0.0     0.0                11.5     9.9     7.6     1.9
 47808.0     0.0     0.0     0.0                11.6     9.7     7.7     1.9
Posiçao 6 - Inclinado para o lado esquerdo
 14374.4  9977.6  3507.2     0.0                13.6    17.0     5.2     5.0
     0.0 31955.2 16480.0     0.0                 7.3    18.5     3.0     5.0
     0.0 33049.6 19270.4     0.0                 7.4    18.1     3.1     4.6
     6.4 33292.8 20627.2     0.0                 7.5    18.0     3.1     4.6
     0.0 32320.0 20723.2     0.0                 7.5    18.2     3.1     4.6
Posiçao 7 - Perna direita cruzada
     0.0 11660.8 25363.2     0.0                10.0    17.7     3.3     9.4
     0.0  6528.0 40038.4     0.0                 9.9    14.6     7.5    10.2
     0.0  6873.6 39699.2     0.0                 9.7    14.8     2.2    10.2
     0.0  8006.4 39641.6     0.0                 9.8    15.0     2.2     9.9
     0.0  8128.0 40505.6     0.0                 9.7    15.0     2.2     9.8
Posição 8 - Perna esquerda cruzada
  4384.0  3436.8 22585.6     0.0                18.5    16.8     7.5     3.7
 18982.4  9120.0   428.8     0.0                15.3    22.5     7.8     2.5
 22598.4 10828.8   902.4     0.0                14.7    21.3    14.0     2.5
 22956.8 11795.2  1926.4     0.0                14.5    21.0     7.7     2.5
 23475.2 11590.4  1779.2     0.0                14.5    20.9     7.6     2.5
