Posiçao 1 - Bem sentado / Normal
 TopoDir BaixDir TopoEsq TopoDir             TrasDir TrasEsq FrenDir FrenEsq
 14246.4  3040.0 27667.2     0.0                 8.0     6.8     4.7     3.2
 14988.8  2521.6 28262.4     0.0                 7.7     6.5     4.7     3.2
 14144.0  1075.2 29446.4     0.0                 7.9     6.9     4.7     3.0
 18131.2  3993.6 30700.8     0.0                 7.7     6.9     4.6     2.8
 17075.2  2182.4 31500.8     0.0                 7.8     7.0     4.6     2.9
Posiçao 2 - Inclinado para a frente com as ancas bem posicionadas
  3443.2   121.6  9612.8     0.0                 8.0     6.4     5.2     3.2
     0.0     0.0     0.0     0.0                 7.6     5.7     5.5     3.4
     0.0     0.0     0.0     0.0                 7.4     5.6     5.5     3.3
     0.0     0.0     0.0     0.0                 8.1     5.6     5.7     3.3
     0.0     0.0     0.0     0.0                 8.3     5.8     5.6     3.3
Posiçao 3 - Inclinado para a frente com as ancas mal posicionadas
     0.0     0.0     0.0     0.0                 4.5     3.2     8.9     6.9
     0.0     0.0     0.0     0.0                 0.5     1.1    13.8    10.3
     0.0     0.0     0.0     0.0                 0.1     1.2    15.0     9.4
     0.0     0.0     0.0     0.0                 0.2     1.2    15.3     9.7
     0.0     0.0     0.0     0.0                 0.1     1.2    15.3     9.6
Posiçao 4 - Inclinado para trás com as ancas mal posicionadas
 21625.6  8473.6     0.0     0.0                 3.6     3.0    10.1     7.2
 44793.6 19417.6     0.0     0.0                 4.3     3.1     8.5     6.5
 43782.4 22041.6     0.0     0.0                 4.7     3.2     8.5     6.5
 44281.6 21932.8     0.0     0.0                 4.7     3.1     8.5     6.5
 44531.2 23180.8     0.0     0.0                 4.5     3.1     8.7     6.5
Posiçao 5 - Inclinado para o lado direito
 13875.2  7462.4  4307.2     0.0                11.5     5.9     6.1     2.9
    19.2     0.0     0.0     0.0                26.1     9.0     6.3     0.0
   128.0     0.0     0.0     0.0                26.0     8.9     6.3     0.1
   972.8     0.0     0.0     0.0                26.1     9.0     6.2     0.1
  2816.0     0.0     0.0     0.0                26.3     9.2     6.2     0.1
Posiçao 6 - Inclinado para o lado esquerdo
  1465.6     0.0 10163.2     0.0                19.6    14.0     4.6     1.7
     0.0     0.0 36889.6     0.0                 3.8    25.5     1.8     3.7
     0.0     0.0 38412.8     0.0                 4.0    25.9     2.0     3.5
     0.0     0.0 39385.6     0.0                 4.1    25.8     2.1     3.4
     6.4     0.0 39603.2     0.0                 4.0    24.7     2.2     3.4
Posiçao 7 - Perna direita cruzada
     0.0  8435.2 35980.8     0.0                 5.7    12.7     2.5     4.2
     0.0 12620.8 38233.6     0.0                 6.4     9.8     2.5     4.3
     0.0 11430.4 38758.4     0.0                 6.4     9.7     2.6     4.2
     0.0 11462.4 39014.4     0.0                 6.4     9.6     2.6     4.2
     0.0 10688.0 39174.4     0.0                 6.5     9.7     2.6     4.1
Posição 8 - Perna esquerda cruzada
  4364.8  2348.8 29235.2     0.0                 9.3    10.8     4.6     1.6
 14035.2     0.0 31264.0     0.0                 8.9     9.2     5.4     1.0
 15590.4     0.0 31564.8     0.0                 9.1     9.1     5.4     1.1
 17068.8     0.0 31961.6     0.0                 9.1     9.2     5.4     1.1
 17702.4     0.0 32185.6     0.0                 9.2     9.1     5.3     1.1
