Posiçao 1 - Bem sentado / Normal
 TopoDir BaixDir TopoEsq TopoDir             TrasDir TrasEsq FrenDir FrenEsq
 23916.8 16672.0 37024.0     0.0                 9.1    10.9     4.2     1.3
 21024.0 16742.4 36697.6     0.0                 9.8    10.9     4.2     1.3
 23033.6 16896.0 37779.2     0.0                 9.6    10.8     4.1     1.3
 25017.6 16992.0 38048.0     0.0                 9.5    10.8     7.6     1.3
 25913.6 17497.6 38496.0     0.0                 9.3    10.9     4.1     1.3
Posiçao 2 - Inclinado para a frente com as ancas bem posicionadas
  7731.2  5011.2 14995.2     0.0                 9.6     9.8     4.5     1.6
     0.0     0.0     0.0     0.0                 8.0     8.5     4.6     1.8
     0.0     0.0     0.0     0.0                 7.9    11.6     4.5     1.8
     0.0     0.0     0.0     0.0                 7.9     8.5     4.5     1.7
     0.0     6.4     0.0     0.0                 8.2     8.7     4.5     1.6
Posiçao 3 - Inclinado para a frente com as ancas mal posicionadas
     0.0     0.0    19.2     0.0                 4.8     5.1    10.1    10.6
     0.0     0.0     0.0     0.0                 0.8     1.3    16.7    20.1
     0.0     0.0     0.0     0.0                 0.7     1.2    16.8    20.0
     0.0     0.0     0.0     0.0                 0.7     1.2    17.2    19.9
     0.0     0.0     0.0     0.0                 0.7     1.2    17.3    19.7
Posiçao 4 - Inclinado para trás com as ancas mal posicionadas
  8723.2  4416.0     0.0     0.0                 1.3     1.6    14.9    15.8
 39289.6 24876.8     0.0     0.0                 0.7     0.6    13.1    11.8
 41894.4 31161.6     0.0     0.0                 0.7     0.3    12.5    11.2
 43129.6 31795.2     0.0     0.0                 0.8     0.6    12.5    11.1
 43750.4 32313.6     0.0     0.0                 0.8     0.5    12.4    11.2
Posiçao 5 - Inclinado para o lado direito
 20780.8 16582.4  7276.8     0.0                 4.6     3.5     8.6     6.8
 22169.6     0.0 36032.0     0.0                13.4     7.6     4.0     0.5
 25516.8     0.0 34592.0     0.0                15.7     7.9     4.0     0.5
 23846.4     0.0 35865.6     0.0                17.1     8.5     3.5     0.5
 28748.8     0.0 36070.4     0.0                17.4     8.4     3.7     0.5
Posiçao 6 - Inclinado para o lado esquerdo
 11705.6 13849.6 41369.6     0.0                 9.4    11.9     2.2     1.7
     0.0 32979.2 47072.0     0.0                 3.0    15.2     0.6     2.5
     0.0 34099.2 47136.0     0.0                 3.0    15.0     0.7     2.5
     0.0 34528.0 47596.8     0.0                 3.3    15.5     0.8     2.5
     0.0 34918.4 47936.0     0.0                 3.2    15.3     0.8     2.4
Posiçao 7 - Perna direita cruzada
 14988.8 18496.0 25830.4     0.0                10.9    12.7     2.5     2.9
 40505.6 20979.2     0.0     0.0                21.1    10.8     3.6     3.2
 38208.0 19590.4     0.0     0.0                21.1    12.1     3.3     3.7
 36736.0 20518.4     0.0     0.0                18.8    11.8     3.4     4.0
 38662.4 22105.6     0.0     0.0                17.7    10.8     3.7     4.1
Posição 8 - Perna esquerda cruzada
 38348.8 17440.0  1587.2     0.0                16.2    18.4     7.1     2.2
 38387.2 18956.8     0.0     0.0                13.7    22.7     7.5     1.5
 40384.0 21504.0     0.0     0.0                12.8    20.9     7.4     1.5
 41024.0 21996.8     0.0     0.0                12.8    20.4    10.3     1.6
 41190.4 21638.4     0.0     0.0                12.8    21.1     7.2     1.6
