Posiçao 1 - Bem sentado / Normal
 TopoDir BaixDir TopoEsq TopoDir             TrasDir TrasEsq FrenDir FrenEsq
 20486.4 20083.2 44633.6     0.0                 8.4    11.3     4.4     1.8
 24569.6 21811.2 44972.8     0.0                 8.0    10.5     4.4     1.8
 25062.4 21171.2 45017.6     0.0                 8.1    10.7     4.4     1.8
 25766.4 20300.8 44691.2     0.0                 8.3    10.7     4.4     1.8
 26848.0 21004.8 44691.2     0.0                 8.3    10.7     4.4     1.8
Posiçao 2 - Inclinado para a frente com as ancas bem posicionadas
  8070.4  6380.8 15008.0     0.0                 9.7    13.5     5.0     3.2
     0.0     0.0     0.0     0.0                 8.5    11.7     5.2     3.8
     0.0     0.0     0.0     0.0                 8.4    11.9     5.4     3.8
     0.0     0.0     0.0     0.0                 8.3    11.8     5.5     3.8
     0.0     0.0     0.0     0.0                 8.2    11.5     5.5     3.8
Posiçao 3 - Inclinado para a frente com as ancas mal posicionadas
     0.0     0.0     0.0     0.0                 3.2     4.3     8.9     9.2
     0.0     0.0     0.0     0.0                 0.8     0.3    12.7    14.3
     0.0     0.0     0.0     0.0                 0.8     0.4    12.5    14.1
     0.0     0.0     0.0     0.0                 0.8     0.4    12.5    14.0
     0.0     0.0     0.0     0.0                 0.8     0.4    16.7    14.1
Posiçao 4 - Inclinado para trás com as ancas mal posicionadas
 12979.2  8800.0     0.0     0.0                 7.8     7.6     8.2     7.5
 28166.4 22400.0     0.0     0.0                 8.2     8.3     6.3     5.1
 26828.8 22342.4     0.0     0.0                 8.0     8.0     6.5     5.3
 26489.6 21907.2     0.0     0.0                 7.9     7.9     6.6     5.4
 26809.6 20499.2     0.0     0.0                 7.8     7.8     6.6     9.0
Posiçao 5 - Inclinado para o lado direito
 14150.4  6400.0  4435.2     0.0                10.1    10.3     5.5     3.6
 34348.8     0.0  9702.4     0.0                17.0     7.1     5.1     0.5
 34848.0     0.0  8851.2     0.0                17.3     7.3     5.1     0.5
 35545.6     0.0  7033.6     0.0                17.6     7.3     5.1     0.5
 36166.4     0.0  6841.6     0.0                17.6     7.3     5.1     0.4
Posiçao 6 - Inclinado para o lado esquerdo
  9932.8  9913.6 27840.0     0.0                10.7    23.9     2.7     2.4
     0.0 17984.0 42073.6     0.0                 6.0    30.8     1.7     3.2
     0.0 18668.8 43123.2     0.0                 5.7    30.9     1.5     2.9
     0.0 18195.2 42899.2     0.0                 5.8    31.2     1.5     2.9
     0.0 18438.4 43168.0     0.0                 5.9    31.3     1.4     6.5
Posiçao 7 - Perna direita cruzada
 11987.2 15110.4 38931.2     0.0                13.4    19.6     2.0     3.2
 29312.0 19180.8 36992.0     0.0                27.6    13.3     2.2     4.1
 26867.2 20339.2 39872.0     0.0                24.8    15.5     2.0     4.6
 26188.8 20646.4 40723.2     0.0                24.6    15.5     2.1     4.5
 24851.2 20627.2 40627.2     0.0                24.1    15.3     2.0     4.3
Posição 8 - Perna esquerda cruzada
 21760.0 13606.4 21529.6     0.0                17.7    24.4     5.9     1.8
 29241.6 17062.4 10566.4     0.0                11.8    31.6     7.5     0.5
 30016.0 18060.8 12947.2     0.0                11.8    29.4     7.4     0.5
 30739.2 17766.4 13075.2     0.0                12.2    29.3     7.3     0.4
 30579.2 17158.4 12678.4     0.0                12.5    28.2     7.3     0.4
