Posiçao 1 - Bem sentado / Normal
 TopoDir BaixDir TopoEsq TopoDir             TrasDir TrasEsq FrenDir FrenEsq
 15532.8  9894.4 30374.4     0.0                21.1    25.2     5.6     4.6
 22323.2 11347.2 32019.2     0.0                26.3    30.5     4.4     3.0
 16224.0  8787.2 31232.0     0.0                26.4    30.6     4.6     3.1
 18720.0  8230.4 35283.2     0.0                26.2    30.1     4.6     3.0
 22995.2 12268.8 34291.2     0.0                26.3    30.1     4.6     2.9
Posiçao 2 - Inclinado para a frente com as ancas bem posicionadas
  6374.4  3392.0 24262.4     0.0                26.8    31.6     4.9     3.7
     0.0     0.0 22233.6     0.0                26.6    31.9     4.9    12.8
     0.0     0.0 23596.8     0.0                26.5    31.6     4.9     3.8
     0.0     0.0 23347.2     0.0                26.9    31.5     5.0     3.4
     0.0     0.0 24332.8     0.0                26.9    31.0     5.1     3.5
Posiçao 3 - Inclinado para a frente com as ancas mal posicionadas
     0.0     0.0  7296.0     0.0                12.7    13.5    13.2    11.6
     0.0     0.0     0.0     0.0                 0.4     1.3    21.2    21.2
     0.0     0.0     0.0     0.0                 0.4     1.3    20.9    24.2
     0.0     0.0     6.4     0.0                 0.5     1.3    20.9    20.8
     0.0     0.0     0.0     0.0                 0.5     1.3    20.7    20.8
Posiçao 4 - Inclinado para trás com as ancas mal posicionadas
 12684.8  8928.0     0.0     0.0                 8.3     8.4    12.9    14.7
 38380.8 28166.4     0.0     0.0                10.2    10.1     8.9     6.6
 39110.4 29376.0     0.0     0.0                 9.8     9.7     9.1     6.6
 39737.6 31244.8     0.0     0.0                 9.5     9.3     9.2     6.6
 40160.0 31833.6     0.0     0.0                 9.3     9.0     9.4     6.7
Posiçao 5 - Inclinado para o lado direito
 18476.8  9452.8 11481.6     0.0                13.6    12.8     7.2     4.7
 33888.0     0.0 31628.8     0.0                23.2    14.8     7.2     1.4
 35372.8     0.0 31910.4     0.0                21.8    14.6     7.3     1.4
 36012.8     0.0 31916.8     0.0                21.8    14.5     7.3     1.4
 36192.0     0.0 32204.8     0.0                21.7    14.4     7.3     1.4
Posiçao 6 - Inclinado para o lado esquerdo
 10470.4  2368.0 34828.8     0.0                17.5    27.4     4.0     3.9
     0.0  9504.0 40595.2     0.0                10.9    32.8     2.3     4.7
     0.0  7968.0 40620.8     0.0                11.7    32.4     9.6     4.5
     0.0  7833.6 40505.6     0.0                12.0    32.1     2.9     4.5
     0.0  8044.8 40812.8     0.0                11.9    32.1     2.9     4.5
Posiçao 7 - Perna direita cruzada
     0.0  3705.6 41267.2     0.0                13.8    28.0     3.9     7.5
     0.0 12428.8 43462.4     0.0                15.7    31.0     1.1     6.4
     0.0 13990.4 44160.0     0.0                13.9    31.2     1.1     6.3
     0.0 13670.4 45011.2     0.0                13.7    31.2     1.1     6.3
     0.0 14124.8 45049.6     0.0                13.4    31.3     1.1     6.2
Posição 8 - Perna esquerda cruzada
  9068.8  9248.0 40838.4     0.0                19.0    31.7     5.0     4.1
 27724.8 15283.2 37049.6     0.0                27.5    33.1     6.8     1.3
 30240.0 17984.0 37740.8     0.0                27.4    33.1     6.5     1.4
 30924.8 18784.0 37996.8     0.0                27.4    33.1     6.4     1.5
 31289.6 18854.4 38208.0     0.0                27.5    33.0     6.4     1.5
