Posiçao 1 - Bem sentado / Normal
 TopoDir BaixDir TopoEsq TopoDir             TrasDir TrasEsq FrenDir FrenEsq
     0.0  8723.2  7008.0     0.0                20.5    29.5     3.8     2.7
     0.0 10713.6  6752.0     0.0                16.0    29.4     4.0     3.0
     0.0 13024.0  8403.2     0.0                15.1    29.0     3.9     3.1
     0.0 11699.2  8332.8     0.0                14.9    28.2     4.0     3.2
     0.0 11846.4  9561.6     0.0                15.0    27.3     3.9     3.0
Posiçao 2 - Inclinado para a frente com as ancas bem posicionadas
     0.0  2188.8  2265.6     0.0                12.2    16.4     5.9     4.3
     0.0     0.0     0.0     0.0                 9.9    10.0     6.6     4.9
     0.0     0.0     0.0     0.0                 9.8    10.1     6.6     4.7
     0.0     0.0     0.0     0.0                 9.7    10.1     6.5     4.6
     0.0     0.0     0.0     0.0                 9.5    10.1     6.5     4.7
Posiçao 3 - Inclinado para a frente com as ancas mal posicionadas
     0.0     0.0     0.0     0.0                 4.7     5.3    10.1     9.1
     0.0     0.0     0.0     0.0                 0.6     0.2    15.0    14.5
     0.0     0.0     0.0     0.0                 0.6     0.4    14.8    14.2
     0.0     0.0     0.0     0.0                 0.6     0.6    14.8    13.8
     0.0     0.0     0.0     0.0                 0.5     0.6    14.8    13.7
Posiçao 4 - Inclinado para trás com as ancas mal posicionadas
  7148.8  7270.4     0.0     0.0                 8.7    10.9     9.5     7.9
 25804.8 24742.4     0.0     0.0                12.7    16.5     6.4     5.0
 30502.4 27936.0     0.0     0.0                12.1    15.6     6.6     8.8
 30483.2 28294.4     0.0     0.0                11.7    14.6     6.9     5.3
 31475.2 28435.2     0.0     0.0                11.6    14.4     6.9     5.4
Posiçao 5 - Inclinado para o lado direito
 13216.0 11699.2     0.0     0.0                14.1    11.7     6.2     3.5
 28985.6     0.0  6457.6     0.0                31.2    14.5     6.5     0.1
 29555.2     0.0  6918.4     0.0                31.1    14.6     6.6     0.1
 30060.8     0.0  6099.2     0.0                31.0    14.5     6.6     0.2
 29203.2     0.0  7724.8     0.0                31.0    14.8     6.6     0.1
Posiçao 6 - Inclinado para o lado esquerdo
  7616.0  4096.0  1427.2     0.0                17.1    30.0     2.7     3.3
     0.0  6297.6     0.0     0.0                 8.5    37.4     0.9     4.2
     0.0  6924.8     0.0     0.0                 8.5    37.4     0.9     4.0
     0.0  6073.6     0.0     0.0                 8.3    37.3     1.0     4.1
     0.0  7212.8     0.0     0.0                 8.2    36.8     1.0     4.1
Posiçao 7 - Perna direita cruzada
     0.0  7532.8 13702.4     0.0                18.3    29.0     2.1     4.4
  1824.0 12332.8 25190.4     0.0                26.8    20.8     2.2     3.3
 17427.2 18387.2 24832.0     0.0                28.6    14.6     3.0     4.0
 11212.8 16416.0 26540.8     0.0                26.4    16.6     2.9     3.1
 14918.4 17875.2 25683.2     0.0                26.1    16.6     2.9     3.4
Posição 8 - Perna esquerda cruzada
 12742.4 15443.2 12352.0     0.0                18.3    26.1     5.1     5.5
 17254.4 16345.6  6112.0     0.0                12.3    28.6     5.4     1.6
 20928.0 17580.8  4576.0     0.0                12.0    29.6     5.2     1.6
 21497.6 17030.4  4588.8     0.0                12.1    29.5     5.2     7.2
 22099.2 18067.2  5228.8     0.0                11.7    29.3     5.2     1.7
