 TopoDir BaixDir TopoEsq TopoDir             TrasDir TrasEsq FrenDir FrenEsq
 34176.0     0.0 19136.0 16960.0               0.819   2.056   2.607   2.627
 34304.0     0.0 19648.0 17024.0               0.799   2.053   2.591   2.630
 34304.0     0.0 19072.0 16960.0               0.896   2.069   2.610   2.607
 34624.0     0.0 19200.0 17024.0               0.867   2.066   2.604   2.614
 34816.0     0.0 19136.0 16832.0               0.764   2.063   2.607   2.623
 34816.0     0.0 19200.0 16832.0               0.809   2.053   2.588   2.623
 35008.0     0.0 19072.0 16640.0               0.880   2.066   2.617   2.614
 34944.0     0.0 18624.0 16640.0               0.896   2.072   2.588   2.633
 35008.0   384.0 18496.0 16576.0               0.815   2.059   2.610   2.639
 35072.0   384.0 17984.0 16512.0               0.751   2.063   2.607   2.627
 35072.0   512.0 16448.0 16512.0               0.819   2.050   2.588   2.614
 35008.0   384.0 18048.0 15936.0               0.864   2.046   2.585   2.630
 35136.0   384.0 16960.0 16064.0               0.809   2.053   2.604   2.627
 35072.0   512.0 18112.0 16256.0               0.838   2.063   2.598   2.633
 35072.0   448.0 17664.0 16384.0               0.870   2.059   2.607   2.643
 35072.0   512.0 17408.0 16384.0               0.854   2.034   2.607   2.623
 35264.0   640.0 15616.0 16704.0               0.844   2.037   2.614   2.627
 35200.0   704.0 15936.0 16960.0               0.822   2.053   2.623   2.617
 35136.0   768.0 15808.0 17664.0               0.819   2.027   2.610   2.630
 35008.0  1920.0 16512.0 17664.0               0.880   2.014   2.617   2.639
 35008.0  2752.0 15296.0 17920.0               0.806   2.017   2.604   2.620
 35072.0  4544.0 15680.0 18432.0               0.880   2.034   2.614   2.614
 34816.0  6080.0 15808.0 18944.0               0.844   2.001   2.623   2.607
 34624.0  6016.0 15232.0 20224.0               0.864   2.024   2.610   2.617
 34240.0  7296.0 14464.0 20480.0               0.870   2.021   2.610   2.633
 33728.0  7744.0 13824.0 20864.0               0.844   2.011   2.614   2.614
 32960.0  9024.0 13440.0 21568.0               0.864   2.017   2.604   2.620
 32320.0  9280.0 12416.0 22016.0               0.748   2.005   2.604   2.633
 30784.0  9472.0 11520.0 22528.0               0.796   1.982   2.601   2.617
 29632.0  9792.0 10944.0 22848.0               0.864   1.992   2.591   2.633
 29120.0 10368.0 10304.0 22848.0               0.864   1.972   2.594   2.617
 28096.0 11072.0  9152.0 23040.0               0.844   1.998   2.575   2.630
 27648.0 11648.0  9280.0 22912.0               0.822   1.972   2.601   2.591
 26688.0 11904.0  8256.0 22720.0               0.819   1.995   2.601   2.639
 25280.0 12352.0  7040.0 23040.0               0.812   1.947   2.594   2.630
 23552.0 12928.0  6976.0 23616.0               0.815   1.972   2.604   2.643
 22528.0 13888.0  6720.0 24320.0               0.751   1.963   2.598   2.643
 20544.0 14208.0  4288.0 24896.0               0.790   1.976   2.601   2.643
 19456.0 14592.0  2048.0 25408.0               0.715   1.969   2.610   2.630
 18048.0 14976.0     0.0 25408.0               0.812   1.959   2.594   2.652
 15936.0 15360.0     0.0 25664.0               0.812   1.937   2.623   2.627
 13568.0 15808.0     0.0 26496.0               0.815   1.976   2.601   2.636
 12800.0 16512.0     0.0 27008.0               0.802   1.979   2.623   2.617
  9984.0 17280.0     0.0 27136.0               0.860   1.976   2.620   2.620
  8256.0 17152.0     0.0 27328.0               0.877   1.976   2.623   2.607
  6656.0 17536.0     0.0 27456.0               0.851   1.979   2.627   2.614
  4416.0 18112.0     0.0 27776.0               0.831   1.985   2.610   2.607
  1856.0 18304.0     0.0 27840.0               0.748   1.998   2.630   2.649
     0.0 18304.0     0.0 27968.0               0.773   1.979   2.617   2.652
     0.0 18240.0     0.0 28096.0               0.835   1.972   2.610   2.656
     0.0 18752.0     0.0 28288.0               0.754   1.985   2.594   2.643
     0.0 18816.0     0.0 28288.0               0.773   1.966   2.607   2.646
     0.0 19008.0     0.0 27968.0               0.806   1.982   2.591   2.633
     0.0 19520.0     0.0 27328.0               0.838   1.995   2.594   2.630
     0.0 19904.0     0.0 26368.0               0.864   2.008   2.617   2.643
     0.0 20288.0     0.0 25856.0               0.889   2.008   2.604   2.652
     0.0 20288.0     0.0 25216.0               0.857   2.001   2.598   2.662
     0.0 20288.0     0.0 25280.0               0.880   2.034   2.591   2.668
     0.0 20096.0     0.0 24384.0               0.851   2.017   2.585   2.630
     0.0 20224.0     0.0 23296.0               0.754   2.046   2.578   2.652
     0.0 20032.0     0.0 22912.0               0.725   2.037   2.578   2.659
     0.0 19776.0     0.0 21440.0               0.748   2.027   2.546   2.668
     0.0 20096.0     0.0 20288.0               0.722   2.046   2.552   2.639
     0.0 19776.0     0.0 18944.0               0.815   2.037   2.556   2.662
     0.0 19648.0     0.0 18816.0               0.822   2.056   2.562   2.639
     0.0 20032.0     0.0 18496.0               0.690   2.085   2.546   2.646
     0.0 19136.0     0.0 17920.0               0.744   2.095   2.562   2.646
     0.0 18816.0     0.0 17792.0               0.780   2.098   2.572   2.643
     0.0 18944.0     0.0 16832.0               0.819   2.095   2.556   2.646
     0.0 18048.0     0.0 17024.0               0.864   2.117   2.568   2.662
     0.0 18240.0     0.0 17216.0               0.857   2.079   2.552   2.656
     0.0 18176.0     0.0 17344.0               0.793   2.114   2.568   2.656
     0.0 18624.0     0.0 16256.0               0.761   2.101   2.572   2.656
     0.0 18496.0     0.0 16512.0               0.786   2.104   2.536   2.668
     0.0 18752.0     0.0 16320.0               0.802   2.085   2.578   2.636
     0.0 19008.0     0.0 16512.0               0.706   2.092   2.539   2.656
     0.0 19136.0     0.0 16896.0               0.854   2.088   2.572   2.646
     0.0 19392.0     0.0 16832.0               0.815   2.104   2.536   2.643
     0.0 20160.0     0.0 17536.0               0.860   2.108   2.546   2.636
     0.0 21056.0     0.0 17600.0               0.838   2.075   2.559   2.620
     0.0 21184.0     0.0 17344.0               0.738   2.101   2.552   2.649
     0.0 21312.0     0.0 17728.0               0.835   2.092   2.568   2.649
     0.0 21568.0     0.0 18176.0               0.870   2.092   2.559   2.646
     0.0 21760.0     0.0 18112.0               0.783   2.108   2.559   2.643
     0.0 21760.0     0.0 18880.0               0.754   2.072   2.565   2.656
     0.0 21952.0     0.0 19008.0               0.841   2.085   2.559   2.643
     0.0 21248.0     0.0 19072.0               0.790   2.092   2.552   2.630
   832.0 20288.0     0.0 18816.0               0.725   2.066   2.543   2.639
  2240.0 19712.0     0.0 18880.0               0.744   2.053   2.543   2.627
  3648.0 19520.0     0.0 19264.0               0.786   2.079   2.543   2.639
  5248.0 19648.0     0.0 19072.0               0.809   2.082   2.549   2.633
  7040.0 19008.0     0.0 19264.0               0.722   2.088   2.559   2.623
  8704.0 18560.0     0.0 19712.0               0.764   2.027   2.565   2.643
 10432.0 17856.0     0.0 19200.0               0.802   2.079   2.556   2.646
 12224.0 17152.0     0.0 19200.0               0.825   2.063   2.562   2.636
 13632.0 16960.0     0.0 19072.0               0.825   2.053   2.572   2.630
 14720.0 16576.0     0.0 19264.0               0.764   2.053   2.565   2.646
 15744.0 15936.0  1984.0 18944.0               0.835   2.037   2.559   2.639
 16768.0 15488.0  5568.0 19328.0               0.809   2.046   2.533   2.614
 18112.0 14784.0  6784.0 19008.0               0.793   2.046   2.552   2.639
 18816.0 14272.0  7168.0 18816.0               0.802   2.021   2.585   2.627
 19072.0 13824.0  8512.0 19008.0               0.815   2.050   2.546   2.636
 19712.0 13632.0 11968.0 19008.0               0.831   2.030   2.568   2.620
 20480.0 12672.0 11712.0 19520.0               0.851   2.050   2.575   2.623
 21824.0 12032.0 12672.0 20032.0               0.786   2.034   2.575   2.617
 22016.0 11328.0 14592.0 20224.0               0.835   2.046   2.578   2.643
 23104.0 11072.0 14400.0 20736.0               0.815   2.040   2.568   2.627
 24320.0 10752.0 15104.0 20608.0               0.815   2.053   2.588   2.636
 24896.0 10496.0 15168.0 21120.0               0.880   2.021   2.581   2.633
 26304.0  9856.0 14848.0 21312.0               0.780   2.024   2.575   2.633
 27776.0  9536.0 15232.0 21440.0               0.809   2.034   2.591   2.610
 28672.0  9280.0 15616.0 21312.0               0.735   2.024   2.588   2.646
 28864.0  9408.0 17728.0 21504.0               0.825   2.021   2.591   2.620
 29440.0  8768.0 18112.0 21440.0               0.848   2.046   2.565   2.643
 29760.0  7872.0 19008.0 21888.0               0.825   2.040   2.598   2.614
 30144.0  7360.0 19840.0 22016.0               0.722   2.056   2.591   2.623
 30784.0  6400.0 20672.0 21952.0               0.812   2.046   2.601   2.627
 31040.0  5568.0 20864.0 22016.0               0.796   2.037   2.581   2.633
 31232.0  4480.0 22272.0 22080.0               0.844   2.034   2.607   2.627
