 TopoDir BaixDir TopoEsq TopoDir             TrasDir TrasEsq FrenDir FrenEsq
 32896.0 23680.0 19072.0 34112.0               1.102   2.443   2.736   2.588
 32832.0 23680.0 19008.0 33984.0               0.886   2.385   2.707   2.536
 32832.0 23744.0 19008.0 34048.0               0.628   2.333   2.656   2.494
 32832.0 23744.0 19008.0 34048.0               0.657   2.391   2.681   2.517
 32896.0 23744.0 19008.0 34048.0               0.667   2.359   2.675   2.498
 32768.0 23680.0 19008.0 34048.0               0.638   2.369   2.685   2.520
 32768.0 23744.0 18944.0 34048.0               0.719   2.375   2.688   2.556
 32704.0 23744.0 18944.0 34048.0               0.757   2.401   2.688   2.546
 32768.0 23808.0 18880.0 34048.0               1.009   2.520   2.794   2.656
 32704.0 23808.0 18880.0 34112.0               1.608   2.530   2.768   2.620
 32768.0 23808.0 18880.0 34112.0               1.495   2.475   2.778   2.614
 32832.0 23808.0 18880.0 34112.0               1.386   2.488   2.762   2.617
 32768.0 23808.0 18944.0 34048.0               1.357   2.456   2.755   2.598
 32832.0 23872.0 18880.0 34112.0               1.321   2.449   2.746   2.591
 32896.0 23872.0 18816.0 34048.0               1.250   2.430   2.739   2.591
 32896.0 23936.0 18816.0 34048.0               1.218   2.420   2.743   2.575
 32832.0 23872.0 18752.0 34048.0               1.044   2.433   2.736   2.543
 32768.0 23872.0 18880.0 34176.0               1.047   2.427   2.717   2.546
 32832.0 23872.0 18880.0 34176.0               0.841   2.369   2.681   2.504
 32832.0 23872.0 18880.0 34240.0               0.764   2.307   2.617   2.481
 32768.0 23808.0 18752.0 34304.0               0.632   2.327   2.649   2.472
 32576.0 23744.0 18688.0 34304.0               0.883   2.394   2.704   2.536
 32512.0 23680.0 18688.0 34304.0               0.796   2.385   2.681   2.504
 32576.0 23680.0 18816.0 34368.0               0.677   2.275   2.617   2.485
 32576.0 23680.0 18624.0 34304.0               0.767   2.301   2.656   2.462
 32448.0 23616.0 18624.0 34240.0               0.877   2.378   2.685   2.504
 32512.0 23616.0 18560.0 34240.0               0.912   2.391   2.678   2.533
 32576.0 23552.0 18624.0 34240.0               0.793   2.285   2.639   2.523
 32512.0 23488.0 18496.0 34304.0               0.648   2.353   2.685   2.510
 32576.0 23552.0 18560.0 34304.0               0.690   2.295   2.668   2.527
 32448.0 23616.0 18624.0 34240.0               0.970   2.398   2.649   2.472
 32448.0 23616.0 18560.0 34240.0               1.044   2.414   2.707   2.562
 32448.0 23616.0 18560.0 34240.0               0.719   2.356   2.662   2.543
 32448.0 23616.0 18624.0 34240.0               0.664   2.359   2.665   2.536
 32512.0 23616.0 18752.0 34240.0               0.751   2.382   2.662   2.514
 32448.0 23552.0 18816.0 34240.0               0.725   2.388   2.694   2.552
 32384.0 23616.0 18816.0 34176.0               0.902   2.375   2.685   2.546
 32128.0 23616.0 18688.0 34240.0               0.744   2.362   2.691   2.568
 32064.0 23552.0 18560.0 34240.0               0.751   2.356   2.678   2.546
 32128.0 23552.0 18496.0 34176.0               0.976   2.417   2.710   2.546
 32128.0 23488.0 18560.0 34240.0               1.022   2.420   2.710   2.556
 32064.0 23424.0 18496.0 34176.0               0.912   2.398   2.717   2.543
 32192.0 23424.0 18432.0 34176.0               0.699   2.356   2.649   2.481
 32064.0 23232.0 18240.0 34112.0               0.628   2.365   2.707   2.527
 32064.0 23168.0 18240.0 34176.0               0.973   2.420   2.720   2.539
 32128.0 23168.0 18496.0 34240.0               0.957   2.391   2.685   2.536
 32128.0 23104.0 18496.0 34240.0               0.893   2.391   2.691   2.539
 32128.0 23104.0 18560.0 34304.0               0.725   2.394   2.697   2.543
 32128.0 22976.0 18624.0 34304.0               0.815   2.391   2.694   2.520
 32064.0 22912.0 18688.0 34368.0               0.806   2.385   2.704   2.552
 32128.0 22912.0 18752.0 34304.0               0.838   2.385   2.691   2.523
 32192.0 22848.0 18752.0 34368.0               0.889   2.382   2.685   2.549
 32192.0 22848.0 18752.0 34304.0               0.944   2.401   2.714   2.575
 32128.0 22912.0 18752.0 34304.0               0.906   2.391   2.707   2.549
 32192.0 22848.0 18816.0 34368.0               0.931   2.394   2.685   2.530
 32192.0 22848.0 18752.0 34368.0               0.844   2.382   2.691   2.549
 32256.0 22784.0 18816.0 34368.0               0.835   2.382   2.688   2.530
 32192.0 22848.0 18688.0 34368.0               0.831   2.385   2.691   2.527
 32256.0 22784.0 18688.0 34368.0               0.873   2.375   2.668   2.523
 32256.0 22720.0 18752.0 34368.0               0.902   2.375   2.691   2.530
 32256.0 22720.0 18816.0 34368.0               0.896   2.382   2.685   2.536
 32256.0 22848.0 18816.0 34368.0               0.751   2.362   2.668   2.504
 32256.0 22848.0 18752.0 34368.0               0.931   2.398   2.697   2.533
 32256.0 22784.0 18816.0 34368.0               0.896   2.382   2.688   2.543
 32256.0 22848.0 18816.0 34368.0               0.670   2.375   2.685   2.520
 32256.0 22784.0 18752.0 34304.0               0.741   2.385   2.701   2.520
 32256.0 22848.0 18816.0 34240.0               0.732   2.375   2.691   2.527
 32320.0 22976.0 18944.0 34304.0               0.848   2.375   2.668   2.520
 32384.0 22976.0 18816.0 34304.0               0.761   2.372   2.672   2.523
 32320.0 22912.0 18944.0 34240.0               0.764   2.369   2.665   2.523
 32320.0 22976.0 18944.0 34176.0               0.770   2.388   2.681   2.527
 32384.0 23104.0 18880.0 34176.0               0.912   2.365   2.685   2.527
 32448.0 23040.0 18944.0 34304.0               0.641   2.378   2.662   2.536
 32448.0 23040.0 19008.0 34304.0               0.838   2.420   2.723   2.552
 32384.0 23104.0 19072.0 34304.0               1.144   2.427   2.739   2.543
 32448.0 23104.0 18944.0 34304.0               0.999   2.414   2.714   2.543
 32512.0 22912.0 18944.0 34304.0               0.748   2.365   2.665   2.527
 32576.0 22720.0 18880.0 34304.0               0.628   2.340   2.662   2.485
 32512.0 22784.0 18944.0 34368.0               0.641   2.346   2.668   2.510
 32512.0 22784.0 18944.0 34304.0               0.657   2.353   2.665   2.494
 32512.0 22656.0 19008.0 34304.0               0.735   2.430   2.746   2.578
 32576.0 22656.0 18944.0 34304.0               1.031   2.420   2.668   2.536
 32576.0 22592.0 19008.0 34240.0               0.641   2.349   2.639   2.517
 32512.0 22656.0 18944.0 34304.0               0.680   2.353   2.694   2.507
 32512.0 22528.0 19072.0 34304.0               0.696   2.359   2.665   2.507
 32512.0 22656.0 19072.0 34176.0               0.831   2.382   2.668   2.504
 32512.0 22656.0 19072.0 34176.0               0.941   2.388   2.685   2.527
 32576.0 22848.0 19200.0 34240.0               0.648   2.336   2.659   2.507
 32512.0 22784.0 19072.0 34240.0               0.761   2.356   2.662   2.514
 32512.0 22848.0 19008.0 34176.0               0.648   2.356   2.668   2.523
 32448.0 22912.0 19072.0 34176.0               0.732   2.414   2.710   2.539
 32512.0 22848.0 19136.0 34240.0               0.748   2.362   2.668   2.530
 32512.0 22912.0 19136.0 34176.0               0.735   2.372   2.685   2.523
 32576.0 22912.0 19136.0 34240.0               0.735   2.356   2.675   2.510
 32448.0 22976.0 19200.0 34176.0               0.670   2.304   2.701   2.533
 32576.0 23040.0 19264.0 34304.0               0.728   2.369   2.688   2.527
 32576.0 22976.0 19200.0 34304.0               0.654   2.340   2.659   2.488
 32576.0 23040.0 19200.0 34304.0               0.651   2.362   2.665   2.491
 32576.0 23040.0 19200.0 34304.0               0.683   2.369   2.665   2.488
 32576.0 23040.0 19200.0 34304.0               0.848   2.369   2.678   2.523
 32704.0 23040.0 19200.0 34240.0               0.696   2.369   2.643   2.475
 32704.0 22976.0 19136.0 34304.0               0.661   2.372   2.646   2.478
 32640.0 22976.0 19200.0 34304.0               0.744   2.372   2.668   2.494
 32704.0 22976.0 19200.0 34240.0               0.664   2.346   2.636   2.504
 32896.0 22976.0 19264.0 34304.0               0.664   2.324   2.643   2.491
 32960.0 22912.0 19264.0 34240.0               0.686   2.285   2.617   2.478
 32832.0 22912.0 19328.0 34176.0               0.670   2.353   2.652   2.494
